date,channel,content_type,impressions,clicks,ctr,engagement,conversions,spend_krw
2026-06-19,인스타그램,피드,3463,93,0.0271,265,2,112938
2026-06-19,인스타그램,스토리,5276,170,0.0322,441,4,109792
2026-06-19,인스타그램,피드,5028,189,0.0378,367,3,125743
2026-06-20,인스타그램,스토리,11561,335,0.029,1004,5,226758
2026-06-20,인스타그램,스토리,5823,152,0.0263,322,3,201500
2026-06-20,유튜브,숏츠,5502,94,0.0171,197,1,293920
2026-06-21,인스타그램,스토리,4778,151,0.0318,407,4,135215
2026-06-21,인스타그램,릴스,5766,192,0.0334,478,3,157024
2026-06-21,인스타그램,릴스,4550,156,0.0344,241,3,137015
2026-06-21,블로그,포스트,3487,158,0.0454,0,4,0
2026-06-22,인스타그램,릴스,5805,223,0.0385,494,4,122413
2026-06-22,인스타그램,릴스,4746,169,0.0358,260,4,99162
2026-06-22,인스타그램,피드,2674,105,0.0396,158,2,102515
2026-06-22,블로그,포스트,2092,83,0.0397,0,2,0
2026-06-23,인스타그램,피드,14048,557,0.0397,1273,15,346198
2026-06-23,유튜브,숏츠,5238,123,0.0236,295,1,235921
2026-06-24,인스타그램,릴스,2839,109,0.0386,231,2,89987
2026-06-24,인스타그램,스토리,3532,129,0.0366,188,2,98398
2026-06-24,인스타그램,피드,3353,108,0.0324,224,2,89341
2026-06-24,블로그,포스트,2718,109,0.0403,0,3,0
2026-06-25,인스타그램,스토리,8970,293,0.0327,589,6,305955
2026-06-25,유튜브,숏츠,3891,97,0.025,189,1,227507
2026-06-26,인스타그램,피드,6952,248,0.0357,578,6,134552
2026-06-26,인스타그램,피드,5693,188,0.0331,444,5,165519
2026-06-27,인스타그램,피드,4323,119,0.0276,355,2,130202
2026-06-27,인스타그램,스토리,3468,122,0.0353,202,2,106783
2026-06-27,인스타그램,피드,4894,135,0.0277,417,3,125442
2026-06-28,인스타그램,릴스,4680,167,0.0357,258,4,108109
2026-06-28,인스타그램,스토리,3213,97,0.0302,178,2,102707
2026-06-28,인스타그램,스토리,4774,170,0.0357,290,4,99965
2026-06-28,유튜브,숏츠,5546,142,0.0258,242,1,204440
2026-06-28,블로그,포스트,3089,129,0.0419,0,3,0
2026-06-29,인스타그램,릴스,6999,212,0.0304,524,5,282715
2026-06-29,유튜브,숏츠,3337,68,0.0205,156,1,152473
2026-06-30,인스타그램,릴스,4228,156,0.037,293,2,112984
2026-06-30,인스타그램,스토리,3995,136,0.0341,304,2,137137
