date,store,category,product,units_sold,unit_price,discount_rate,channel
2026-01-03,강남점,음료,콜드브루,14,4500,0.00,배달
2026-01-03,강남점,음료,라떼,14,4800,0.10,매장
2026-01-03,강남점,디저트,티라미수,4,6500,0.00,배달
2026-01-03,강남점,디저트,티라미수,5,6500,0.15,배달
2026-01-03,강남점,음료,콜드브루,9,4500,0.00,배달
2026-01-03,강남점,베이커리,크루아상,10,3800,0.05,매장
2026-01-03,강남점,디저트,치즈케이크,4,6200,0.00,매장
2026-01-03,홍대점,디저트,티라미수,3,6500,0.10,배달
2026-01-03,홍대점,베이커리,크루아상,8,3800,0.05,배달
2026-01-03,홍대점,베이커리,크루아상,5,3800,0.00,매장
2026-01-03,홍대점,음료,콜드브루,14,4500,0.05,매장
2026-01-03,홍대점,베이커리,크루아상,4,3800,0.00,배달
2026-01-03,홍대점,음료,콜드브루,10,4500,0.00,매장
2026-01-03,홍대점,음료,아메리카노,7,4000,0.00,배달
2026-01-03,홍대점,음료,콜드브루,7,4500,0.15,매장
2026-01-03,홍대점,베이커리,소금빵,8,3200,0.15,매장
2026-01-03,부산점,베이커리,밤식빵,4,4200,0.15,매장
2026-01-03,부산점,디저트,티라미수,2,6500,0.05,매장
2026-01-03,부산점,디저트,티라미수,3,6500,0.05,배달
2026-01-03,부산점,베이커리,소금빵,6,3200,0.15,매장
2026-01-03,부산점,음료,라떼,6,4800,0.10,매장
2026-01-03,부산점,베이커리,크루아상,6,3800,0.05,매장
2026-01-04,강남점,음료,아메리카노,14,4000,0.00,매장
2026-01-04,강남점,음료,라떼,15,4800,0.00,매장
2026-01-04,강남점,음료,콜드브루,12,4500,0.00,배달
2026-01-04,강남점,디저트,마카롱,4,2500,0.00,매장
2026-01-04,강남점,베이커리,소금빵,7,3200,0.15,매장
2026-01-04,강남점,베이커리,크루아상,7,3800,0.05,배달
2026-01-04,강남점,베이커리,크루아상,8,3800,0.05,배달
2026-01-04,홍대점,음료,라떼,8,4800,0.00,매장
2026-01-04,홍대점,음료,콜드브루,10,4500,0.00,배달
2026-01-04,홍대점,음료,라떼,12,4800,0.10,배달
2026-01-04,홍대점,베이커리,밤식빵,7,4200,0.00,배달
2026-01-04,홍대점,음료,아메리카노,15,4000,0.10,배달
2026-01-04,홍대점,음료,콜드브루,11,4500,0.00,배달
2026-01-04,홍대점,디저트,치즈케이크,2,6200,0.05,배달
2026-01-04,홍대점,음료,아메리카노,15,4000,0.15,매장
2026-01-04,부산점,베이커리,크루아상,4,3800,0.00,매장
2026-01-04,부산점,디저트,티라미수,4,6500,0.15,배달
2026-01-04,부산점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-04,부산점,음료,콜드브루,7,4500,0.05,배달
2026-01-04,부산점,베이커리,소금빵,3,3200,0.00,매장
2026-01-04,부산점,디저트,티라미수,4,6500,0.05,배달
2026-01-04,부산점,디저트,치즈케이크,2,6200,0.10,매장
2026-01-05,강남점,음료,콜드브루,11,4500,0.15,배달
2026-01-05,강남점,베이커리,밤식빵,7,4200,0.05,매장
2026-01-05,강남점,음료,콜드브루,6,4500,0.00,매장
2026-01-05,강남점,음료,라떼,7,4800,0.05,매장
2026-01-05,강남점,디저트,티라미수,3,6500,0.10,매장
2026-01-05,강남점,음료,아메리카노,11,4000,0.00,배달
2026-01-05,강남점,디저트,티라미수,4,6500,0.15,배달
2026-01-05,강남점,음료,아메리카노,6,4000,0.05,매장
2026-01-05,강남점,베이커리,소금빵,6,3200,0.00,배달
2026-01-05,홍대점,음료,라떼,7,4800,0.10,배달
2026-01-05,홍대점,음료,콜드브루,11,4500,0.15,매장
2026-01-05,홍대점,디저트,티라미수,2,6500,0.00,매장
2026-01-05,홍대점,디저트,치즈케이크,2,6200,0.05,배달
2026-01-05,홍대점,음료,콜드브루,9,4500,0.00,매장
2026-01-05,홍대점,음료,콜드브루,12,4500,0.15,배달
2026-01-05,홍대점,베이커리,소금빵,4,3200,0.00,매장
2026-01-05,홍대점,디저트,티라미수,3,6500,0.05,배달
2026-01-05,부산점,베이커리,소금빵,5,3200,0.10,매장
2026-01-05,부산점,디저트,마카롱,2,2500,0.00,배달
2026-01-05,부산점,디저트,마카롱,2,2500,0.00,배달
2026-01-05,부산점,음료,콜드브루,6,4500,0.05,매장
2026-01-05,부산점,음료,라떼,6,4800,0.05,매장
2026-01-05,부산점,음료,아메리카노,7,4000,0.00,매장
2026-01-06,강남점,음료,라떼,8,4800,0.05,매장
2026-01-06,강남점,음료,아메리카노,13,4000,0.15,매장
2026-01-06,강남점,베이커리,밤식빵,4,4200,0.00,매장
2026-01-06,강남점,베이커리,크루아상,6,3800,0.15,매장
2026-01-06,홍대점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-06,홍대점,음료,콜드브루,8,4500,0.15,매장
2026-01-06,홍대점,음료,아메리카노,9,4000,0.15,매장
2026-01-06,홍대점,디저트,티라미수,2,6500,0.10,매장
2026-01-06,홍대점,베이커리,크루아상,4,3800,0.15,매장
2026-01-06,홍대점,음료,아메리카노,10,4000,0.00,매장
2026-01-06,홍대점,음료,아메리카노,9,4000,0.10,매장
2026-01-06,홍대점,디저트,티라미수,3,6500,0.00,매장
2026-01-06,부산점,베이커리,소금빵,4,3200,0.10,매장
2026-01-06,부산점,디저트,치즈케이크,2,6200,0.15,매장
2026-01-06,부산점,베이커리,밤식빵,4,4200,0.00,매장
2026-01-06,부산점,베이커리,크루아상,4,3800,0.00,배달
2026-01-06,부산점,디저트,티라미수,2,6500,0.05,매장
2026-01-06,부산점,베이커리,밤식빵,4,4200,0.05,배달
2026-01-06,부산점,음료,라떼,6,4800,0.00,배달
2026-01-06,부산점,음료,아메리카노,5,4000,0.05,매장
2026-01-07,강남점,디저트,마카롱,4,2500,0.15,매장
2026-01-07,강남점,음료,아메리카노,7,4000,0.05,매장
2026-01-07,강남점,음료,라떼,6,4800,0.00,배달
2026-01-07,강남점,음료,아메리카노,10,4000,0.05,매장
2026-01-07,강남점,음료,콜드브루,9,4500,0.00,매장
2026-01-07,강남점,베이커리,밤식빵,5,4200,0.05,매장
2026-01-07,홍대점,디저트,마카롱,3,2500,0.05,매장
2026-01-07,홍대점,베이커리,소금빵,5,3200,0.00,배달
2026-01-07,홍대점,음료,라떼,8,4800,0.15,배달
2026-01-07,홍대점,음료,아메리카노,7,4000,0.00,배달
2026-01-07,홍대점,베이커리,소금빵,6,3200,0.00,배달
2026-01-07,홍대점,음료,콜드브루,5,4500,0.00,매장
2026-01-07,홍대점,디저트,티라미수,3,6500,0.00,배달
2026-01-07,홍대점,음료,라떼,6,4800,0.00,매장
2026-01-07,부산점,디저트,티라미수,1,6500,0.00,매장
2026-01-07,부산점,음료,콜드브루,5,4500,0.05,배달
2026-01-07,부산점,디저트,마카롱,1,2500,0.00,배달
2026-01-07,부산점,음료,콜드브루,6,4500,0.10,매장
2026-01-07,부산점,베이커리,크루아상,5,3800,0.15,배달
2026-01-07,부산점,음료,라떼,8,4800,0.10,매장
2026-01-07,부산점,음료,라떼,6,4800,0.00,매장
2026-01-07,부산점,베이커리,밤식빵,2,4200,0.10,배달
2026-01-08,강남점,베이커리,크루아상,5,3800,0.00,매장
2026-01-08,강남점,음료,콜드브루,10,4500,0.05,매장
2026-01-08,강남점,베이커리,크루아상,7,3800,0.10,매장
2026-01-08,강남점,베이커리,소금빵,5,3200,0.00,배달
2026-01-08,강남점,음료,라떼,12,4800,0.00,매장
2026-01-08,홍대점,음료,콜드브루,7,4500,0.00,배달
2026-01-08,홍대점,음료,라떼,10,4800,0.05,배달
2026-01-08,홍대점,베이커리,소금빵,6,3200,0.05,매장
2026-01-08,홍대점,베이커리,소금빵,3,3200,0.00,배달
2026-01-08,홍대점,음료,콜드브루,8,4500,0.15,매장
2026-01-08,홍대점,베이커리,크루아상,4,3800,0.05,매장
2026-01-08,홍대점,디저트,치즈케이크,3,6200,0.05,매장
2026-01-08,홍대점,디저트,티라미수,3,6500,0.15,배달
2026-01-08,부산점,음료,아메리카노,5,4000,0.10,매장
2026-01-08,부산점,음료,아메리카노,6,4000,0.15,배달
2026-01-08,부산점,베이커리,소금빵,4,3200,0.10,매장
2026-01-08,부산점,베이커리,크루아상,4,3800,0.00,매장
2026-01-08,부산점,베이커리,소금빵,3,3200,0.15,배달
2026-01-09,강남점,베이커리,소금빵,4,3200,0.05,배달
2026-01-09,강남점,베이커리,소금빵,6,3200,0.00,매장
2026-01-09,강남점,음료,라떼,12,4800,0.00,배달
2026-01-09,강남점,음료,라떼,12,4800,0.15,매장
2026-01-09,강남점,베이커리,크루아상,7,3800,0.05,배달
2026-01-09,강남점,음료,콜드브루,10,4500,0.00,매장
2026-01-09,강남점,디저트,치즈케이크,4,6200,0.00,매장
2026-01-09,강남점,음료,콜드브루,11,4500,0.00,매장
2026-01-09,강남점,베이커리,밤식빵,4,4200,0.10,매장
2026-01-09,홍대점,디저트,티라미수,3,6500,0.10,배달
2026-01-09,홍대점,음료,아메리카노,8,4000,0.00,배달
2026-01-09,홍대점,음료,라떼,6,4800,0.10,매장
2026-01-09,홍대점,음료,라떼,5,4800,0.05,매장
2026-01-09,홍대점,음료,콜드브루,10,4500,0.00,매장
2026-01-09,부산점,베이커리,밤식빵,6,4200,0.15,배달
2026-01-09,부산점,베이커리,크루아상,4,3800,0.05,배달
2026-01-09,부산점,음료,콜드브루,5,4500,0.00,매장
2026-01-09,부산점,베이커리,밤식빵,5,4200,0.15,매장
2026-01-09,부산점,디저트,치즈케이크,2,6200,0.00,매장
2026-01-09,부산점,음료,콜드브루,5,4500,0.15,매장
2026-01-09,부산점,음료,라떼,7,4800,0.05,매장
2026-01-09,부산점,디저트,치즈케이크,2,6200,0.05,배달
2026-01-09,부산점,베이커리,밤식빵,3,4200,0.00,매장
2026-01-10,강남점,음료,라떼,10,4800,0.10,배달
2026-01-10,강남점,디저트,티라미수,5,6500,0.00,매장
2026-01-10,강남점,음료,아메리카노,12,4000,0.00,배달
2026-01-10,강남점,베이커리,크루아상,8,3800,0.00,배달
2026-01-10,강남점,디저트,마카롱,3,2500,0.00,배달
2026-01-10,강남점,음료,콜드브루,11,4500,0.05,배달
2026-01-10,강남점,음료,콜드브루,8,4500,0.00,매장
2026-01-10,강남점,베이커리,밤식빵,9,4200,0.00,매장
2026-01-10,강남점,음료,콜드브루,18,4500,0.10,매장
2026-01-10,강남점,음료,콜드브루,10,4500,0.00,배달
2026-01-10,강남점,음료,라떼,15,4800,0.10,배달
2026-01-10,홍대점,베이커리,밤식빵,7,4200,0.00,매장
2026-01-10,홍대점,음료,콜드브루,14,4500,0.05,매장
2026-01-10,홍대점,음료,아메리카노,7,4000,0.05,배달
2026-01-10,홍대점,디저트,마카롱,2,2500,0.05,매장
2026-01-10,홍대점,음료,콜드브루,15,4500,0.15,매장
2026-01-10,홍대점,베이커리,밤식빵,8,4200,0.15,매장
2026-01-10,홍대점,베이커리,밤식빵,6,4200,0.10,배달
2026-01-10,홍대점,디저트,치즈케이크,4,6200,0.10,매장
2026-01-10,부산점,디저트,티라미수,3,6500,0.00,매장
2026-01-10,부산점,음료,아메리카노,8,4000,0.00,매장
2026-01-10,부산점,베이커리,소금빵,5,3200,0.10,매장
2026-01-10,부산점,음료,콜드브루,7,4500,0.00,배달
2026-01-10,부산점,베이커리,소금빵,5,3200,0.15,매장
2026-01-10,부산점,음료,콜드브루,8,4500,0.00,매장
2026-01-10,부산점,베이커리,소금빵,5,3200,0.10,배달
2026-01-10,부산점,음료,콜드브루,6,4500,0.00,매장
2026-01-10,부산점,음료,아메리카노,11,4000,0.15,배달
2026-01-11,강남점,음료,콜드브루,7,4500,0.00,매장
2026-01-11,강남점,베이커리,밤식빵,10,4200,0.10,배달
2026-01-11,강남점,베이커리,소금빵,12,3200,0.15,매장
2026-01-11,강남점,베이커리,밤식빵,5,4200,0.05,배달
2026-01-11,강남점,음료,콜드브루,17,4500,0.05,배달
2026-01-11,강남점,디저트,티라미수,7,6500,0.15,매장
2026-01-11,강남점,음료,콜드브루,16,4500,0.05,매장
2026-01-11,강남점,디저트,티라미수,4,6500,0.05,배달
2026-01-11,홍대점,베이커리,크루아상,6,3800,0.00,매장
2026-01-11,홍대점,음료,콜드브루,9,4500,0.15,매장
2026-01-11,홍대점,음료,아메리카노,7,4000,0.10,매장
2026-01-11,홍대점,음료,라떼,12,4800,0.00,매장
2026-01-11,홍대점,베이커리,소금빵,4,3200,0.00,배달
2026-01-11,홍대점,음료,라떼,14,4800,0.05,배달
2026-01-11,홍대점,베이커리,밤식빵,5,4200,0.00,매장
2026-01-11,홍대점,음료,콜드브루,10,4500,0.00,매장
2026-01-11,부산점,베이커리,크루아상,5,3800,0.00,배달
2026-01-11,부산점,디저트,티라미수,2,6500,0.00,매장
2026-01-11,부산점,음료,라떼,10,4800,0.05,배달
2026-01-11,부산점,음료,콜드브루,10,4500,0.00,배달
2026-01-11,부산점,음료,콜드브루,10,4500,0.15,매장
2026-01-11,부산점,디저트,티라미수,3,6500,0.00,배달
2026-01-11,부산점,음료,라떼,11,4800,0.05,배달
2026-01-11,부산점,음료,라떼,9,4800,0.05,매장
2026-01-11,부산점,음료,아메리카노,5,4000,0.10,매장
2026-01-11,부산점,베이커리,소금빵,5,3200,0.10,매장
2026-01-11,부산점,디저트,티라미수,4,6500,0.00,매장
2026-01-12,강남점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-12,강남점,음료,아메리카노,10,4000,0.00,매장
2026-01-12,강남점,음료,아메리카노,10,4000,0.00,매장
2026-01-12,강남점,음료,라떼,15,4800,0.15,배달
2026-01-12,강남점,음료,아메리카노,6,4000,0.15,배달
2026-01-12,강남점,디저트,마카롱,2,2500,0.00,매장
2026-01-12,강남점,음료,라떼,11,4800,0.05,배달
2026-01-12,강남점,베이커리,소금빵,4,3200,0.10,매장
2026-01-12,강남점,음료,콜드브루,5,4500,0.00,배달
2026-01-12,홍대점,베이커리,밤식빵,5,4200,0.15,매장
2026-01-12,홍대점,음료,콜드브루,9,4500,0.00,매장
2026-01-12,홍대점,베이커리,크루아상,6,3800,0.05,매장
2026-01-12,홍대점,베이커리,크루아상,3,3800,0.05,매장
2026-01-12,홍대점,음료,아메리카노,5,4000,0.00,배달
2026-01-12,홍대점,음료,아메리카노,7,4000,0.05,매장
2026-01-12,홍대점,음료,라떼,8,4800,0.05,배달
2026-01-12,홍대점,베이커리,소금빵,4,3200,0.00,매장
2026-01-12,부산점,음료,아메리카노,6,4000,0.00,배달
2026-01-12,부산점,음료,아메리카노,4,4000,0.05,매장
2026-01-12,부산점,베이커리,소금빵,3,3200,0.00,배달
2026-01-12,부산점,디저트,티라미수,1,6500,0.10,매장
2026-01-12,부산점,디저트,마카롱,2,2500,0.05,매장
2026-01-12,부산점,베이커리,소금빵,3,3200,0.05,매장
2026-01-13,강남점,음료,콜드브루,8,4500,0.00,매장
2026-01-13,강남점,음료,아메리카노,10,4000,0.05,배달
2026-01-13,강남점,음료,아메리카노,14,4000,0.15,매장
2026-01-13,강남점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-13,홍대점,음료,라떼,10,4800,0.00,매장
2026-01-13,홍대점,베이커리,밤식빵,4,4200,0.00,매장
2026-01-13,홍대점,베이커리,소금빵,6,3200,0.10,매장
2026-01-13,홍대점,음료,아메리카노,8,4000,0.00,매장
2026-01-13,홍대점,디저트,티라미수,4,6500,0.10,배달
2026-01-13,홍대점,디저트,마카롱,3,2500,0.00,매장
2026-01-13,홍대점,음료,콜드브루,8,4500,0.00,매장
2026-01-13,홍대점,음료,아메리카노,8,4000,0.10,배달
2026-01-13,홍대점,음료,라떼,7,4800,0.05,매장
2026-01-13,부산점,음료,라떼,6,4800,0.15,매장
2026-01-13,부산점,디저트,마카롱,2,2500,0.00,매장
2026-01-13,부산점,디저트,티라미수,2,6500,0.00,배달
2026-01-13,부산점,음료,라떼,3,4800,0.00,매장
2026-01-14,강남점,베이커리,크루아상,6,3800,0.00,배달
2026-01-14,강남점,음료,콜드브루,7,4500,0.00,배달
2026-01-14,강남점,베이커리,크루아상,4,3800,0.05,매장
2026-01-14,강남점,음료,아메리카노,9,4000,0.05,배달
2026-01-14,강남점,베이커리,소금빵,4,3200,0.00,매장
2026-01-14,홍대점,베이커리,소금빵,4,3200,0.15,매장
2026-01-14,홍대점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-14,홍대점,디저트,티라미수,3,6500,0.00,매장
2026-01-14,홍대점,베이커리,크루아상,3,3800,0.00,배달
2026-01-14,홍대점,음료,아메리카노,8,4000,0.00,매장
2026-01-14,홍대점,음료,콜드브루,10,4500,0.05,배달
2026-01-14,홍대점,베이커리,밤식빵,4,4200,0.00,매장
2026-01-14,홍대점,음료,아메리카노,7,4000,0.00,매장
2026-01-14,홍대점,베이커리,밤식빵,5,4200,0.00,매장
2026-01-14,부산점,음료,아메리카노,8,4000,0.05,배달
2026-01-14,부산점,음료,콜드브루,6,4500,0.00,배달
2026-01-14,부산점,음료,라떼,9,4800,0.15,매장
2026-01-14,부산점,베이커리,크루아상,4,3800,0.00,배달
2026-01-14,부산점,베이커리,크루아상,3,3800,0.05,배달
2026-01-14,부산점,음료,콜드브루,5,4500,0.00,배달
2026-01-15,강남점,베이커리,크루아상,5,3800,0.05,매장
2026-01-15,강남점,음료,콜드브루,6,4500,0.00,매장
2026-01-15,강남점,디저트,티라미수,2,6500,0.00,매장
2026-01-15,강남점,음료,라떼,10,4800,0.00,매장
2026-01-15,강남점,음료,콜드브루,10,4500,0.15,매장
2026-01-15,강남점,음료,아메리카노,6,4000,0.00,매장
2026-01-15,강남점,디저트,치즈케이크,4,6200,0.10,매장
2026-01-15,강남점,베이커리,밤식빵,8,4200,0.05,배달
2026-01-15,강남점,음료,콜드브루,7,4500,0.00,매장
2026-01-15,홍대점,디저트,치즈케이크,2,6200,0.05,매장
2026-01-15,홍대점,음료,라떼,8,4800,0.00,매장
2026-01-15,홍대점,디저트,티라미수,2,6500,0.15,매장
2026-01-15,홍대점,음료,콜드브루,9,4500,0.15,배달
2026-01-15,홍대점,음료,아메리카노,8,4000,0.10,배달
2026-01-15,홍대점,베이커리,밤식빵,7,4200,0.10,매장
2026-01-15,부산점,음료,라떼,6,4800,0.00,배달
2026-01-15,부산점,음료,라떼,6,4800,0.00,매장
2026-01-15,부산점,디저트,치즈케이크,2,6200,0.00,매장
2026-01-15,부산점,음료,라떼,8,4800,0.10,매장
2026-01-15,부산점,음료,아메리카노,3,4000,0.00,배달
2026-01-15,부산점,베이커리,크루아상,3,3800,0.15,배달
2026-01-15,부산점,음료,아메리카노,8,4000,0.05,매장
2026-01-15,부산점,디저트,마카롱,3,2500,0.00,배달
2026-01-15,부산점,베이커리,밤식빵,2,4200,0.00,배달
2026-01-16,강남점,음료,콜드브루,10,4500,0.05,매장
2026-01-16,강남점,디저트,치즈케이크,3,6200,0.15,배달
2026-01-16,강남점,음료,콜드브루,8,4500,0.00,배달
2026-01-16,강남점,디저트,치즈케이크,4,6200,0.15,배달
2026-01-16,강남점,베이커리,소금빵,7,3200,0.05,매장
2026-01-16,강남점,디저트,티라미수,4,6500,0.15,매장
2026-01-16,강남점,베이커리,밤식빵,4,4200,0.10,배달
2026-01-16,강남점,음료,아메리카노,7,4000,0.05,배달
2026-01-16,홍대점,베이커리,크루아상,3,3800,0.10,매장
2026-01-16,홍대점,음료,아메리카노,9,4000,0.00,배달
2026-01-16,홍대점,음료,라떼,7,4800,0.00,매장
2026-01-16,홍대점,음료,아메리카노,9,4000,0.15,매장
2026-01-16,홍대점,음료,콜드브루,7,4500,0.00,배달
2026-01-16,홍대점,음료,라떼,8,4800,0.00,배달
2026-01-16,부산점,베이커리,소금빵,5,3200,0.10,배달
2026-01-16,부산점,음료,콜드브루,8,4500,0.00,매장
2026-01-16,부산점,디저트,치즈케이크,3,6200,0.05,매장
2026-01-16,부산점,베이커리,소금빵,4,3200,0.05,배달
2026-01-16,부산점,베이커리,소금빵,3,3200,0.05,매장
2026-01-16,부산점,베이커리,밤식빵,3,4200,0.05,매장
2026-01-16,부산점,음료,아메리카노,4,4000,0.00,배달
2026-01-16,부산점,베이커리,크루아상,3,3800,0.00,배달
2026-01-17,강남점,디저트,치즈케이크,4,6200,0.00,매장
2026-01-17,강남점,디저트,티라미수,3,6500,0.15,매장
2026-01-17,강남점,베이커리,밤식빵,7,4200,0.00,배달
2026-01-17,강남점,베이커리,소금빵,8,3200,0.00,매장
2026-01-17,강남점,베이커리,밤식빵,8,4200,0.00,매장
2026-01-17,강남점,음료,아메리카노,14,4000,0.00,매장
2026-01-17,강남점,베이커리,밤식빵,9,4200,0.05,배달
2026-01-17,강남점,음료,콜드브루,7,4500,0.00,배달
2026-01-17,강남점,베이커리,밤식빵,9,4200,0.00,매장
2026-01-17,홍대점,디저트,티라미수,2,6500,0.00,배달
2026-01-17,홍대점,베이커리,크루아상,6,3800,0.00,매장
2026-01-17,홍대점,베이커리,크루아상,6,3800,0.15,매장
2026-01-17,홍대점,음료,콜드브루,13,4500,0.00,매장
2026-01-17,홍대점,음료,라떼,10,4800,0.00,매장
2026-01-17,홍대점,음료,아메리카노,12,4000,0.10,매장
2026-01-17,홍대점,베이커리,소금빵,6,3200,0.00,매장
2026-01-17,홍대점,디저트,마카롱,3,2500,0.05,배달
2026-01-17,홍대점,음료,콜드브루,12,4500,0.05,배달
2026-01-17,홍대점,베이커리,소금빵,5,3200,0.15,배달
2026-01-17,홍대점,음료,콜드브루,14,4500,0.15,배달
2026-01-17,부산점,음료,라떼,11,4800,0.05,매장
2026-01-17,부산점,음료,아메리카노,5,4000,0.00,배달
2026-01-17,부산점,음료,아메리카노,8,4000,0.15,매장
2026-01-17,부산점,베이커리,밤식빵,6,4200,0.00,매장
2026-01-17,부산점,베이커리,크루아상,3,3800,0.10,배달
2026-01-17,부산점,음료,콜드브루,9,4500,0.10,배달
2026-01-18,강남점,음료,콜드브루,10,4500,0.05,매장
2026-01-18,강남점,디저트,치즈케이크,6,6200,0.10,매장
2026-01-18,강남점,음료,아메리카노,12,4000,0.00,매장
2026-01-18,강남점,음료,라떼,15,4800,0.15,배달
2026-01-18,강남점,음료,콜드브루,11,4500,0.05,매장
2026-01-18,강남점,베이커리,밤식빵,8,4200,0.05,배달
2026-01-18,강남점,베이커리,밤식빵,10,4200,0.00,매장
2026-01-18,강남점,음료,아메리카노,17,4000,0.15,매장
2026-01-18,강남점,음료,라떼,15,4800,0.00,매장
2026-01-18,홍대점,음료,라떼,9,4800,0.05,매장
2026-01-18,홍대점,음료,라떼,10,4800,0.05,배달
2026-01-18,홍대점,음료,아메리카노,11,4000,0.05,매장
2026-01-18,홍대점,디저트,치즈케이크,4,6200,0.00,매장
2026-01-18,홍대점,베이커리,밤식빵,5,4200,0.05,배달
2026-01-18,홍대점,디저트,마카롱,3,2500,0.00,배달
2026-01-18,홍대점,디저트,마카롱,4,2500,0.00,배달
2026-01-18,홍대점,베이커리,소금빵,4,3200,0.00,배달
2026-01-18,홍대점,음료,라떼,6,4800,0.00,배달
2026-01-18,홍대점,음료,라떼,9,4800,0.05,배달
2026-01-18,부산점,디저트,마카롱,3,2500,0.10,매장
2026-01-18,부산점,음료,아메리카노,6,4000,0.15,매장
2026-01-18,부산점,디저트,치즈케이크,3,6200,0.00,배달
2026-01-18,부산점,음료,아메리카노,10,4000,0.05,매장
2026-01-18,부산점,베이커리,소금빵,7,3200,0.10,매장
2026-01-18,부산점,음료,라떼,7,4800,0.00,배달
2026-01-18,부산점,음료,아메리카노,7,4000,0.15,배달
2026-01-18,부산점,음료,콜드브루,6,4500,0.05,매장
2026-01-18,부산점,음료,아메리카노,9,4000,0.00,매장
2026-01-18,부산점,베이커리,밤식빵,3,4200,0.00,매장
2026-01-18,부산점,음료,아메리카노,9,4000,0.15,배달
2026-01-19,강남점,음료,아메리카노,7,4000,0.10,매장
2026-01-19,강남점,디저트,마카롱,3,2500,0.00,배달
2026-01-19,강남점,음료,라떼,6,4800,0.00,배달
2026-01-19,강남점,베이커리,소금빵,4,3200,0.00,매장
2026-01-19,강남점,베이커리,밤식빵,7,4200,0.15,매장
2026-01-19,강남점,디저트,치즈케이크,3,6200,0.00,매장
2026-01-19,홍대점,음료,아메리카노,7,4000,0.15,매장
2026-01-19,홍대점,베이커리,소금빵,6,3200,0.10,배달
2026-01-19,홍대점,베이커리,크루아상,3,3800,0.10,매장
2026-01-19,홍대점,디저트,마카롱,3,2500,0.00,배달
2026-01-19,홍대점,베이커리,소금빵,5,3200,0.05,배달
2026-01-19,홍대점,베이커리,크루아상,5,3800,0.00,배달
2026-01-19,부산점,음료,아메리카노,8,4000,0.05,배달
2026-01-19,부산점,음료,라떼,7,4800,0.00,매장
2026-01-19,부산점,음료,아메리카노,4,4000,0.15,매장
2026-01-19,부산점,베이커리,밤식빵,5,4200,0.05,매장
2026-01-19,부산점,디저트,치즈케이크,1,6200,0.00,매장
2026-01-20,강남점,베이커리,소금빵,8,3200,0.05,매장
2026-01-20,강남점,음료,콜드브루,12,4500,0.15,매장
2026-01-20,강남점,디저트,티라미수,3,6500,0.00,매장
2026-01-20,강남점,음료,콜드브루,8,4500,0.05,매장
2026-01-20,강남점,음료,라떼,10,4800,0.05,매장
2026-01-20,강남점,음료,콜드브루,8,4500,0.00,배달
2026-01-20,강남점,음료,콜드브루,10,4500,0.05,매장
2026-01-20,강남점,음료,아메리카노,13,4000,0.05,매장
2026-01-20,홍대점,음료,아메리카노,7,4000,0.00,배달
2026-01-20,홍대점,베이커리,소금빵,5,3200,0.15,배달
