date,department,employee_type,check_in,check_out,late_minutes,overtime_hours,work_mode
2026-02-04,고객지원,정규직,09:20,19:30,20,1.5,사무실
2026-02-04,고객지원,정규직,09:21,18:00,21,0.0,사무실
2026-02-04,고객지원,정규직,09:00,19:00,0,1.0,외근
2026-02-04,고객지원,계약직,09:00,19:30,0,1.5,재택
2026-02-04,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-04,개발,정규직,09:00,19:30,0,1.5,외근
2026-02-04,개발,정규직,09:00,20:30,0,2.5,재택
2026-02-04,개발,정규직,09:13,20:00,13,2.0,재택
2026-02-04,개발,정규직,09:02,19:30,2,1.5,사무실
2026-02-04,영업,정규직,09:00,18:00,0,0.0,사무실
2026-02-04,영업,정규직,09:00,18:30,0,0.5,재택
2026-02-04,영업,계약직,09:00,19:00,0,1.0,사무실
2026-02-04,영업,정규직,09:00,18:30,0,0.5,사무실
2026-02-04,영업,계약직,09:25,18:30,25,0.5,재택
2026-02-04,영업,정규직,09:00,18:00,0,0.0,외근
2026-02-04,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-04,마케팅,계약직,09:00,18:30,0,0.5,사무실
2026-02-04,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-04,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-04,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-04,경영지원,계약직,09:00,19:30,0,1.5,재택
2026-02-04,경영지원,정규직,09:05,19:00,5,1.0,사무실
2026-02-04,경영지원,계약직,09:11,18:00,11,0.0,외근
2026-02-05,고객지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-05,고객지원,정규직,09:19,18:30,19,0.5,사무실
2026-02-05,고객지원,계약직,09:00,19:30,0,1.5,재택
2026-02-05,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-05,개발,정규직,09:35,19:30,35,1.5,외근
2026-02-05,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-05,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-05,개발,정규직,09:00,19:00,0,1.0,외근
2026-02-05,개발,정규직,09:00,19:00,0,1.0,사무실
2026-02-05,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-05,영업,계약직,09:28,18:30,28,0.5,외근
2026-02-05,영업,계약직,09:00,18:00,0,0.0,외근
2026-02-05,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-05,영업,정규직,09:17,19:30,17,1.5,재택
2026-02-05,영업,정규직,09:11,19:00,11,1.0,사무실
2026-02-05,영업,계약직,09:24,18:30,24,0.5,사무실
2026-02-05,마케팅,계약직,09:00,19:00,0,1.0,사무실
2026-02-05,마케팅,계약직,09:00,19:00,0,1.0,사무실
2026-02-05,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-05,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-05,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-05,경영지원,정규직,09:11,18:30,11,0.5,사무실
2026-02-05,경영지원,정규직,09:01,18:00,1,0.0,재택
2026-02-05,경영지원,정규직,09:12,18:30,12,0.5,사무실
2026-02-05,경영지원,계약직,09:23,19:30,23,1.5,외근
2026-02-05,경영지원,정규직,09:03,18:00,3,0.0,사무실
2026-02-06,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-06,고객지원,계약직,09:00,19:30,0,1.5,재택
2026-02-06,고객지원,계약직,09:00,19:30,0,1.5,사무실
2026-02-06,고객지원,계약직,09:00,19:00,0,1.0,외근
2026-02-06,개발,정규직,09:00,19:00,0,1.0,재택
2026-02-06,개발,정규직,09:19,19:30,19,1.5,외근
2026-02-06,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-06,개발,정규직,09:02,20:00,2,2.0,사무실
2026-02-06,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-06,영업,계약직,09:00,18:30,0,0.5,사무실
2026-02-06,영업,계약직,09:00,19:00,0,1.0,재택
2026-02-06,영업,계약직,09:00,18:30,0,0.5,외근
2026-02-06,영업,계약직,09:16,18:30,16,0.5,사무실
2026-02-06,영업,계약직,09:04,19:30,4,1.5,재택
2026-02-06,마케팅,정규직,09:00,18:30,0,0.5,외근
2026-02-06,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-06,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-06,마케팅,계약직,09:00,19:00,0,1.0,재택
2026-02-06,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-06,경영지원,정규직,09:05,18:30,5,0.5,사무실
2026-02-06,경영지원,정규직,09:03,18:00,3,0.0,사무실
2026-02-06,경영지원,계약직,09:00,18:30,0,0.5,사무실
2026-02-06,경영지원,정규직,09:04,18:00,4,0.0,사무실
2026-02-09,고객지원,계약직,09:00,19:00,0,1.0,사무실
2026-02-09,고객지원,계약직,09:18,18:30,18,0.5,재택
2026-02-09,고객지원,정규직,09:33,19:00,33,1.0,외근
2026-02-09,고객지원,계약직,09:00,19:00,0,1.0,사무실
2026-02-09,개발,정규직,09:19,20:00,19,2.0,외근
2026-02-09,개발,정규직,09:05,20:00,5,2.0,사무실
2026-02-09,개발,계약직,09:11,19:00,11,1.0,외근
2026-02-09,개발,계약직,09:06,19:30,6,1.5,사무실
2026-02-09,개발,정규직,09:00,19:00,0,1.0,재택
2026-02-09,개발,정규직,09:12,19:30,12,1.5,외근
2026-02-09,영업,계약직,09:14,19:00,14,1.0,사무실
2026-02-09,영업,계약직,09:00,19:00,0,1.0,사무실
2026-02-09,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-09,영업,정규직,09:00,18:30,0,0.5,사무실
2026-02-09,영업,정규직,09:29,19:30,29,1.5,재택
2026-02-09,영업,계약직,09:18,18:30,18,0.5,재택
2026-02-09,마케팅,계약직,09:00,18:30,0,0.5,사무실
2026-02-09,마케팅,계약직,09:10,18:00,10,0.0,사무실
2026-02-09,마케팅,정규직,09:11,18:30,11,0.5,외근
2026-02-09,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-09,마케팅,정규직,09:06,19:00,6,1.0,사무실
2026-02-09,경영지원,정규직,09:09,19:00,9,1.0,외근
2026-02-09,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-09,경영지원,정규직,09:04,18:00,4,0.0,사무실
2026-02-09,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-09,경영지원,정규직,09:00,19:00,0,1.0,재택
2026-02-09,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-10,고객지원,계약직,09:00,19:30,0,1.5,재택
2026-02-10,고객지원,정규직,09:09,18:30,9,0.5,사무실
2026-02-10,고객지원,정규직,09:13,19:00,13,1.0,사무실
2026-02-10,고객지원,정규직,09:11,18:30,11,0.5,사무실
2026-02-10,고객지원,정규직,09:00,18:30,0,0.5,재택
2026-02-10,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-10,개발,계약직,09:00,19:30,0,1.5,재택
2026-02-10,개발,계약직,09:00,20:00,0,2.0,재택
2026-02-10,개발,정규직,09:07,20:00,7,2.0,사무실
2026-02-10,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-10,개발,정규직,09:00,19:00,0,1.0,사무실
2026-02-10,영업,계약직,09:05,18:00,5,0.0,재택
2026-02-10,영업,정규직,09:00,19:30,0,1.5,재택
2026-02-10,영업,정규직,09:00,18:00,0,0.0,사무실
2026-02-10,영업,계약직,09:00,18:30,0,0.5,사무실
2026-02-10,영업,정규직,09:15,18:00,15,0.0,사무실
2026-02-10,영업,정규직,09:00,19:00,0,1.0,사무실
2026-02-10,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,마케팅,정규직,09:00,19:30,0,1.5,사무실
2026-02-10,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-10,마케팅,계약직,09:08,18:30,8,0.5,사무실
2026-02-10,마케팅,정규직,09:00,19:00,0,1.0,외근
2026-02-10,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-10,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-11,고객지원,정규직,09:41,19:30,41,1.5,외근
2026-02-11,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-11,고객지원,정규직,09:17,19:00,17,1.0,사무실
2026-02-11,고객지원,정규직,09:10,18:30,10,0.5,사무실
2026-02-11,고객지원,정규직,09:26,18:30,26,0.5,외근
2026-02-11,개발,정규직,09:06,20:30,6,2.5,사무실
2026-02-11,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-11,개발,정규직,09:00,19:30,0,1.5,외근
2026-02-11,개발,정규직,09:00,19:00,0,1.0,재택
2026-02-11,영업,정규직,09:00,18:00,0,0.0,외근
2026-02-11,영업,정규직,09:29,19:30,29,1.5,사무실
2026-02-11,영업,계약직,09:00,18:00,0,0.0,외근
2026-02-11,영업,정규직,09:36,18:00,36,0.0,외근
2026-02-11,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-11,마케팅,정규직,09:02,18:30,2,0.5,사무실
2026-02-11,마케팅,계약직,09:00,19:00,0,1.0,사무실
2026-02-11,마케팅,정규직,09:00,19:30,0,1.5,재택
2026-02-11,마케팅,정규직,09:01,18:30,1,0.5,사무실
2026-02-11,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-11,경영지원,정규직,09:09,18:00,9,0.0,사무실
2026-02-11,경영지원,정규직,09:00,19:00,0,1.0,재택
2026-02-11,경영지원,정규직,09:07,18:30,7,0.5,사무실
2026-02-11,경영지원,정규직,09:00,18:00,0,0.0,재택
2026-02-12,고객지원,정규직,09:00,20:00,0,2.0,재택
2026-02-12,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-12,고객지원,계약직,09:00,19:00,0,1.0,사무실
2026-02-12,고객지원,계약직,09:23,19:00,23,1.0,사무실
2026-02-12,고객지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-12,개발,정규직,09:00,20:00,0,2.0,사무실
2026-02-12,개발,정규직,09:00,18:30,0,0.5,사무실
2026-02-12,개발,정규직,09:00,18:30,0,0.5,사무실
2026-02-12,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-12,개발,정규직,09:00,18:30,0,0.5,사무실
2026-02-12,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-12,영업,계약직,09:14,18:00,14,0.0,사무실
2026-02-12,영업,정규직,09:09,19:00,9,1.0,외근
2026-02-12,영업,계약직,09:08,19:30,8,1.5,재택
2026-02-12,영업,정규직,09:18,18:30,18,0.5,외근
2026-02-12,마케팅,정규직,09:15,18:00,15,0.0,재택
2026-02-12,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-12,마케팅,정규직,09:04,19:00,4,1.0,재택
2026-02-12,마케팅,정규직,09:11,18:00,11,0.0,외근
2026-02-12,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-12,경영지원,정규직,09:06,18:30,6,0.5,사무실
2026-02-12,경영지원,계약직,09:00,19:00,0,1.0,재택
2026-02-12,경영지원,정규직,09:00,18:00,0,0.0,재택
2026-02-12,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-13,고객지원,정규직,09:14,18:30,14,0.5,사무실
2026-02-13,고객지원,정규직,09:35,18:30,35,0.5,외근
2026-02-13,고객지원,정규직,09:00,18:30,0,0.5,재택
2026-02-13,고객지원,정규직,09:00,19:00,0,1.0,재택
2026-02-13,고객지원,계약직,09:15,19:30,15,1.5,외근
2026-02-13,개발,정규직,09:00,20:00,0,2.0,재택
2026-02-13,개발,정규직,09:00,18:30,0,0.5,외근
2026-02-13,개발,정규직,09:00,19:00,0,1.0,사무실
2026-02-13,개발,계약직,09:02,19:00,2,1.0,외근
2026-02-13,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-13,영업,계약직,09:38,19:30,38,1.5,외근
2026-02-13,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-13,영업,정규직,09:06,18:00,6,0.0,재택
2026-02-13,영업,계약직,09:00,19:00,0,1.0,재택
2026-02-13,영업,정규직,09:19,18:30,19,0.5,사무실
2026-02-13,마케팅,정규직,09:00,19:30,0,1.5,사무실
2026-02-13,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-13,마케팅,계약직,09:00,19:00,0,1.0,재택
2026-02-13,마케팅,정규직,09:00,18:30,0,0.5,사무실
2026-02-13,경영지원,정규직,09:00,18:00,0,0.0,외근
2026-02-13,경영지원,정규직,09:00,18:30,0,0.5,외근
2026-02-13,경영지원,정규직,09:10,18:00,10,0.0,사무실
2026-02-13,경영지원,정규직,09:15,18:30,15,0.5,사무실
2026-02-13,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-16,고객지원,정규직,09:00,19:30,0,1.5,사무실
2026-02-16,고객지원,계약직,09:15,19:00,15,1.0,외근
2026-02-16,고객지원,정규직,09:06,19:00,6,1.0,재택
2026-02-16,고객지원,정규직,09:05,19:30,5,1.5,사무실
2026-02-16,개발,정규직,09:00,18:00,0,0.0,외근
2026-02-16,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-16,개발,정규직,09:12,19:30,12,1.5,사무실
2026-02-16,개발,계약직,09:11,19:30,11,1.5,외근
2026-02-16,영업,정규직,09:00,19:30,0,1.5,사무실
2026-02-16,영업,정규직,09:00,19:00,0,1.0,사무실
2026-02-16,영업,계약직,09:30,19:30,30,1.5,재택
2026-02-16,영업,정규직,09:22,19:00,22,1.0,사무실
2026-02-16,마케팅,정규직,09:03,19:00,3,1.0,사무실
2026-02-16,마케팅,정규직,09:00,19:30,0,1.5,사무실
2026-02-16,마케팅,정규직,09:00,19:30,0,1.5,재택
2026-02-16,마케팅,정규직,09:17,19:30,17,1.5,사무실
2026-02-16,경영지원,정규직,09:13,18:30,13,0.5,외근
2026-02-16,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-16,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-16,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-16,경영지원,정규직,09:02,19:30,2,1.5,사무실
2026-02-16,경영지원,계약직,09:00,18:00,0,0.0,사무실
2026-02-17,고객지원,정규직,09:16,18:30,16,0.5,사무실
2026-02-17,고객지원,계약직,09:46,19:30,46,1.5,외근
2026-02-17,고객지원,정규직,09:04,19:30,4,1.5,재택
2026-02-17,고객지원,정규직,09:00,19:00,0,1.0,외근
2026-02-17,개발,정규직,09:12,19:30,12,1.5,사무실
2026-02-17,개발,정규직,09:00,19:00,0,1.0,외근
2026-02-17,개발,정규직,09:00,20:00,0,2.0,재택
2026-02-17,개발,정규직,09:02,19:30,2,1.5,사무실
2026-02-17,영업,정규직,09:00,18:00,0,0.0,사무실
2026-02-17,영업,정규직,09:30,18:00,30,0.0,외근
2026-02-17,영업,정규직,09:09,19:30,9,1.5,사무실
2026-02-17,영업,정규직,09:00,18:00,0,0.0,사무실
2026-02-17,영업,계약직,09:19,18:00,19,0.0,사무실
2026-02-17,마케팅,정규직,09:02,18:30,2,0.5,사무실
2026-02-17,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-17,마케팅,계약직,09:00,19:00,0,1.0,외근
2026-02-17,마케팅,정규직,09:07,18:00,7,0.0,사무실
2026-02-17,경영지원,정규직,09:02,19:30,2,1.5,재택
2026-02-17,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-17,경영지원,계약직,09:00,18:00,0,0.0,사무실
2026-02-17,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-17,경영지원,정규직,09:00,19:30,0,1.5,재택
2026-02-17,경영지원,정규직,09:29,18:00,29,0.0,사무실
2026-02-18,고객지원,정규직,09:23,18:00,23,0.0,사무실
2026-02-18,고객지원,정규직,09:00,19:30,0,1.5,외근
2026-02-18,고객지원,정규직,09:27,18:30,27,0.5,외근
2026-02-18,고객지원,정규직,09:00,19:30,0,1.5,재택
2026-02-18,고객지원,정규직,09:00,19:00,0,1.0,재택
2026-02-18,고객지원,정규직,09:12,19:30,12,1.5,재택
2026-02-18,개발,계약직,09:00,19:00,0,1.0,사무실
2026-02-18,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-18,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-18,개발,정규직,09:00,20:00,0,2.0,사무실
2026-02-18,영업,정규직,09:00,18:30,0,0.5,사무실
2026-02-18,영업,정규직,09:29,19:00,29,1.0,사무실
2026-02-18,영업,정규직,09:00,18:30,0,0.5,사무실
2026-02-18,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-18,영업,정규직,09:16,18:30,16,0.5,사무실
2026-02-18,마케팅,정규직,09:05,19:30,5,1.5,재택
2026-02-18,마케팅,계약직,09:00,19:00,0,1.0,사무실
2026-02-18,마케팅,정규직,09:00,19:00,0,1.0,외근
2026-02-18,마케팅,정규직,09:00,19:30,0,1.5,사무실
2026-02-18,경영지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-18,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-18,경영지원,계약직,09:00,19:00,0,1.0,재택
2026-02-18,경영지원,정규직,09:12,18:00,12,0.0,사무실
2026-02-18,경영지원,정규직,09:12,18:30,12,0.5,외근
2026-02-18,경영지원,정규직,09:11,19:30,11,1.5,재택
2026-02-19,고객지원,정규직,09:00,19:30,0,1.5,재택
2026-02-19,고객지원,정규직,09:00,19:00,0,1.0,재택
2026-02-19,고객지원,계약직,09:13,18:30,13,0.5,재택
2026-02-19,고객지원,계약직,09:00,18:30,0,0.5,사무실
2026-02-19,고객지원,정규직,09:17,18:30,17,0.5,사무실
2026-02-19,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-19,개발,정규직,09:00,19:00,0,1.0,사무실
2026-02-19,개발,정규직,09:15,19:00,15,1.0,사무실
2026-02-19,개발,정규직,09:00,20:00,0,2.0,재택
2026-02-19,개발,정규직,09:00,20:00,0,2.0,사무실
2026-02-19,영업,정규직,09:00,18:30,0,0.5,사무실
2026-02-19,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-19,영업,정규직,09:20,18:30,20,0.5,사무실
2026-02-19,영업,계약직,09:01,19:30,1,1.5,사무실
2026-02-19,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-19,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-19,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-19,마케팅,정규직,09:14,18:30,14,0.5,외근
2026-02-19,경영지원,정규직,09:00,19:30,0,1.5,재택
2026-02-19,경영지원,계약직,09:29,18:30,29,0.5,외근
2026-02-19,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-19,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-19,경영지원,정규직,09:03,18:00,3,0.0,사무실
2026-02-20,고객지원,계약직,09:00,19:30,0,1.5,사무실
2026-02-20,고객지원,계약직,09:08,19:00,8,1.0,재택
2026-02-20,고객지원,계약직,09:00,19:30,0,1.5,사무실
2026-02-20,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-20,고객지원,정규직,09:06,20:00,6,2.0,사무실
2026-02-20,고객지원,정규직,09:00,19:00,0,1.0,사무실
2026-02-20,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-20,개발,정규직,09:31,19:00,31,1.0,외근
2026-02-20,개발,정규직,09:00,18:30,0,0.5,사무실
2026-02-20,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-20,개발,정규직,09:03,19:30,3,1.5,재택
2026-02-20,영업,계약직,09:00,19:00,0,1.0,사무실
2026-02-20,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-20,영업,계약직,09:24,18:00,24,0.0,사무실
2026-02-20,영업,정규직,09:00,19:00,0,1.0,재택
2026-02-20,마케팅,정규직,09:17,18:30,17,0.5,사무실
2026-02-20,마케팅,정규직,09:06,18:30,6,0.5,사무실
2026-02-20,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-20,마케팅,정규직,09:01,19:00,1,1.0,재택
2026-02-20,마케팅,정규직,09:07,18:30,7,0.5,사무실
2026-02-20,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-20,경영지원,계약직,09:00,18:30,0,0.5,사무실
2026-02-20,경영지원,정규직,09:33,18:00,33,0.0,외근
2026-02-20,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-20,경영지원,정규직,09:00,18:00,0,0.0,외근
2026-02-20,경영지원,계약직,09:00,18:30,0,0.5,사무실
2026-02-23,고객지원,계약직,09:00,19:30,0,1.5,사무실
2026-02-23,고객지원,정규직,09:01,18:30,1,0.5,사무실
2026-02-23,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-23,고객지원,정규직,09:13,18:30,13,0.5,사무실
2026-02-23,고객지원,정규직,09:00,18:30,0,0.5,재택
2026-02-23,개발,정규직,09:16,19:00,16,1.0,사무실
2026-02-23,개발,정규직,09:26,20:00,26,2.0,외근
2026-02-23,개발,계약직,09:00,20:00,0,2.0,재택
2026-02-23,개발,계약직,09:00,19:00,0,1.0,사무실
2026-02-23,개발,정규직,09:13,19:00,13,1.0,외근
2026-02-23,영업,정규직,09:00,18:00,0,0.0,재택
2026-02-23,영업,정규직,09:30,18:30,30,0.5,외근
2026-02-23,영업,계약직,09:31,19:00,31,1.0,사무실
2026-02-23,영업,정규직,09:09,19:00,9,1.0,사무실
2026-02-23,영업,계약직,09:11,18:30,11,0.5,사무실
2026-02-23,영업,계약직,09:15,18:00,15,0.0,사무실
2026-02-23,마케팅,정규직,09:18,18:30,18,0.5,사무실
2026-02-23,마케팅,정규직,09:17,18:30,17,0.5,사무실
2026-02-23,마케팅,계약직,09:01,18:30,1,0.5,사무실
2026-02-23,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-23,경영지원,계약직,09:12,18:30,12,0.5,사무실
2026-02-23,경영지원,정규직,09:00,19:00,0,1.0,재택
2026-02-23,경영지원,정규직,09:17,19:00,17,1.0,외근
2026-02-23,경영지원,정규직,09:06,18:30,6,0.5,사무실
2026-02-24,고객지원,계약직,09:00,18:00,0,0.0,사무실
2026-02-24,고객지원,정규직,09:00,19:30,0,1.5,재택
2026-02-24,고객지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-24,고객지원,정규직,09:04,19:30,4,1.5,사무실
2026-02-24,고객지원,정규직,09:00,20:00,0,2.0,재택
2026-02-24,개발,정규직,09:00,19:30,0,1.5,재택
2026-02-24,개발,정규직,09:00,20:30,0,2.5,외근
2026-02-24,개발,정규직,09:30,18:30,30,0.5,외근
2026-02-24,개발,정규직,09:00,19:30,0,1.5,사무실
2026-02-24,개발,계약직,09:13,20:00,13,2.0,사무실
2026-02-24,개발,계약직,09:00,18:00,0,0.0,사무실
2026-02-24,영업,정규직,09:30,19:00,30,1.0,외근
2026-02-24,영업,계약직,09:28,18:30,28,0.5,사무실
2026-02-24,영업,정규직,09:27,18:30,27,0.5,외근
2026-02-24,영업,정규직,09:14,18:30,14,0.5,사무실
2026-02-24,마케팅,정규직,09:00,18:00,0,0.0,사무실
2026-02-24,마케팅,정규직,09:00,19:00,0,1.0,재택
2026-02-24,마케팅,정규직,09:00,19:00,0,1.0,사무실
2026-02-24,마케팅,계약직,09:00,18:30,0,0.5,외근
2026-02-24,경영지원,계약직,09:00,19:30,0,1.5,사무실
2026-02-24,경영지원,정규직,09:00,18:30,0,0.5,사무실
2026-02-24,경영지원,계약직,09:00,18:30,0,0.5,사무실
2026-02-24,경영지원,정규직,09:34,18:00,34,0.0,외근
2026-02-24,경영지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-24,경영지원,정규직,09:00,18:30,0,0.5,재택
2026-02-25,고객지원,계약직,09:00,19:30,0,1.5,외근
2026-02-25,고객지원,정규직,09:00,18:00,0,0.0,사무실
2026-02-25,고객지원,계약직,09:13,18:30,13,0.5,사무실
2026-02-25,고객지원,정규직,09:14,18:30,14,0.5,사무실
2026-02-25,고객지원,정규직,09:00,19:00,0,1.0,재택
2026-02-25,고객지원,계약직,09:30,19:00,30,1.0,재택
2026-02-25,개발,계약직,09:08,19:30,8,1.5,사무실
2026-02-25,개발,정규직,09:00,18:30,0,0.5,사무실
2026-02-25,개발,정규직,09:22,19:00,22,1.0,외근
