received_date,region,category,channel,status,days_to_close,summary
2026-03-05,남구,시설,앱,반려,1,놀이터 시설물 안전 점검 요청
2026-03-05,북구,소음,전화,반려,1,야간 공사 소음 불편 접수
2026-03-06,중구,교통,앱,처리중,,버스 정류장 안내판 훼손 신고
2026-03-06,서구,소음,웹,처리중,,층간 소음 중재 요청
2026-03-06,동구,위생,전화,반려,1,쥐·해충 방제 요청
2026-03-06,남구,위생,앱,처리중,,쥐·해충 방제 요청
2026-03-06,남구,환경,웹,완료,10,생활 쓰레기 무단 투기 신고
2026-03-06,북구,환경,방문,완료,8,재활용 분리수거 미흡 민원
2026-03-06,북구,시설,앱,완료,6,공원 조명 고장 민원
2026-03-07,중구,환경,앱,완료,4,재활용 분리수거 미흡 민원
2026-03-07,서구,위생,웹,반려,1,무허가 노점 위생 민원
2026-03-07,서구,환경,웹,완료,4,악취 발생 신고
2026-03-07,동구,소음,방문,완료,2,야간 공사 소음 불편 접수
2026-03-07,동구,교통,방문,처리중,,신호등 점멸 오작동 신고
2026-03-07,남구,교통,웹,완료,2,불법 주정차 단속 요청
2026-03-07,북구,교통,전화,처리중,,불법 주정차 단속 요청
2026-03-08,중구,교통,전화,완료,3,신호등 점멸 오작동 신고
2026-03-08,동구,위생,전화,완료,3,음식점 위생 상태 신고
2026-03-08,남구,교통,웹,처리중,,버스 정류장 안내판 훼손 신고
2026-03-08,북구,시설,앱,완료,5,보도블록 파손 신고
2026-03-09,중구,시설,앱,반려,2,공원 조명 고장 민원
2026-03-09,중구,위생,앱,완료,7,음식점 위생 상태 신고
2026-03-09,서구,환경,웹,완료,5,재활용 분리수거 미흡 민원
2026-03-09,동구,환경,전화,완료,6,재활용 분리수거 미흡 민원
2026-03-09,남구,복지,앱,처리중,,기초생활 지원 문의
2026-03-09,북구,소음,앱,완료,1,상가 확성기 소음 신고
2026-03-09,북구,교통,앱,처리중,,버스 정류장 안내판 훼손 신고
2026-03-10,중구,위생,웹,완료,7,쥐·해충 방제 요청
2026-03-10,서구,시설,앱,완료,10,공원 조명 고장 민원
2026-03-10,동구,교통,앱,완료,1,불법 주정차 단속 요청
2026-03-10,북구,교통,웹,완료,2,불법 주정차 단속 요청
2026-03-10,북구,교통,방문,완료,2,횡단보도 도색 마모 민원
2026-03-11,중구,교통,전화,완료,2,신호등 점멸 오작동 신고
2026-03-11,중구,복지,웹,완료,13,독거노인 돌봄 요청
2026-03-11,서구,교통,앱,완료,3,버스 정류장 안내판 훼손 신고
2026-03-11,남구,환경,앱,처리중,,생활 쓰레기 무단 투기 신고
2026-03-11,남구,교통,전화,완료,2,횡단보도 도색 마모 민원
2026-03-11,북구,소음,웹,완료,2,심야 오토바이 소음 신고
2026-03-11,북구,시설,웹,완료,9,놀이터 시설물 안전 점검 요청
2026-03-12,중구,교통,전화,완료,4,횡단보도 도색 마모 민원
2026-03-12,서구,교통,앱,완료,1,불법 주정차 단속 요청
2026-03-12,동구,복지,방문,반려,1,아동 급식 지원 문의
2026-03-12,남구,환경,웹,완료,4,악취 발생 신고
2026-03-12,북구,위생,앱,완료,4,음식점 위생 상태 신고
2026-03-13,중구,시설,웹,완료,1,놀이터 시설물 안전 점검 요청
2026-03-13,서구,위생,전화,완료,3,무허가 노점 위생 민원
2026-03-13,서구,위생,웹,완료,5,방역 요청
2026-03-13,동구,환경,웹,완료,4,생활 쓰레기 무단 투기 신고
2026-03-13,동구,교통,전화,완료,3,횡단보도 도색 마모 민원
2026-03-13,남구,소음,앱,완료,2,야간 공사 소음 불편 접수
2026-03-13,북구,환경,앱,처리중,,악취 발생 신고
2026-03-13,북구,교통,웹,처리중,,횡단보도 도색 마모 민원
2026-03-14,중구,시설,앱,완료,7,공중화장실 파손 신고
2026-03-14,중구,위생,앱,처리중,,무허가 노점 위생 민원
2026-03-14,서구,시설,전화,완료,2,공중화장실 파손 신고
2026-03-14,서구,교통,앱,완료,5,버스 정류장 안내판 훼손 신고
2026-03-14,동구,복지,방문,완료,9,아동 급식 지원 문의
2026-03-14,남구,환경,웹,완료,12,재활용 분리수거 미흡 민원
2026-03-14,남구,시설,웹,처리중,,보도블록 파손 신고
2026-03-14,북구,교통,앱,처리중,,횡단보도 도색 마모 민원
2026-03-14,북구,시설,앱,완료,6,보도블록 파손 신고
2026-03-15,중구,환경,방문,완료,13,하천 오염 의심 신고
2026-03-15,서구,환경,웹,반려,2,하천 오염 의심 신고
2026-03-15,동구,복지,전화,완료,15,기초생활 지원 문의
2026-03-15,남구,복지,전화,완료,12,장애인 편의시설 설치 요청
2026-03-15,북구,교통,웹,완료,3,버스 정류장 안내판 훼손 신고
2026-03-16,중구,환경,앱,반려,1,악취 발생 신고
2026-03-16,중구,위생,앱,완료,3,쥐·해충 방제 요청
2026-03-16,서구,환경,앱,완료,4,생활 쓰레기 무단 투기 신고
2026-03-16,동구,환경,방문,완료,12,악취 발생 신고
2026-03-16,동구,환경,웹,처리중,,생활 쓰레기 무단 투기 신고
2026-03-16,북구,시설,전화,처리중,,놀이터 시설물 안전 점검 요청
2026-03-17,중구,환경,전화,완료,10,생활 쓰레기 무단 투기 신고
2026-03-17,서구,위생,앱,완료,6,쥐·해충 방제 요청
2026-03-17,동구,복지,전화,처리중,,독거노인 돌봄 요청
2026-03-17,남구,시설,전화,완료,9,보도블록 파손 신고
2026-03-17,북구,소음,앱,처리중,,심야 오토바이 소음 신고
2026-03-17,북구,시설,앱,완료,10,보도블록 파손 신고
2026-03-18,중구,소음,앱,완료,1,층간 소음 중재 요청
2026-03-18,서구,시설,전화,완료,10,공중화장실 파손 신고
2026-03-18,동구,위생,웹,반려,3,쥐·해충 방제 요청
2026-03-18,동구,시설,웹,완료,4,공원 조명 고장 민원
2026-03-18,남구,소음,앱,처리중,,층간 소음 중재 요청
2026-03-18,남구,시설,앱,완료,4,공중화장실 파손 신고
2026-03-18,북구,환경,웹,반려,3,악취 발생 신고
2026-03-18,북구,소음,웹,완료,2,층간 소음 중재 요청
2026-03-19,중구,소음,전화,완료,2,상가 확성기 소음 신고
2026-03-19,서구,소음,앱,완료,2,상가 확성기 소음 신고
2026-03-19,서구,환경,앱,완료,4,악취 발생 신고
2026-03-19,동구,환경,앱,완료,5,악취 발생 신고
2026-03-19,남구,환경,웹,처리중,,하천 오염 의심 신고
2026-03-19,북구,시설,웹,완료,6,공원 조명 고장 민원
2026-03-20,중구,시설,앱,완료,1,놀이터 시설물 안전 점검 요청
2026-03-20,중구,교통,전화,완료,4,신호등 점멸 오작동 신고
2026-03-20,중구,시설,방문,완료,6,공중화장실 파손 신고
2026-03-20,서구,교통,앱,완료,3,신호등 점멸 오작동 신고
2026-03-20,서구,소음,앱,반려,1,층간 소음 중재 요청
2026-03-20,남구,환경,방문,완료,14,생활 쓰레기 무단 투기 신고
2026-03-20,북구,소음,앱,처리중,,층간 소음 중재 요청
2026-03-21,중구,교통,웹,처리중,,신호등 점멸 오작동 신고
2026-03-21,중구,시설,앱,반려,2,보도블록 파손 신고
2026-03-21,서구,위생,웹,처리중,,무허가 노점 위생 민원
2026-03-21,서구,위생,앱,처리중,,무허가 노점 위생 민원
2026-03-21,동구,환경,웹,완료,6,생활 쓰레기 무단 투기 신고
2026-03-21,남구,환경,전화,완료,13,생활 쓰레기 무단 투기 신고
2026-03-21,북구,소음,전화,완료,3,상가 확성기 소음 신고
2026-03-21,북구,소음,웹,처리중,,층간 소음 중재 요청
2026-03-22,중구,환경,앱,완료,5,생활 쓰레기 무단 투기 신고
2026-03-22,서구,환경,앱,처리중,,악취 발생 신고
2026-03-22,서구,교통,전화,완료,3,불법 주정차 단속 요청
2026-03-22,동구,교통,웹,완료,3,불법 주정차 단속 요청
2026-03-22,남구,소음,앱,완료,1,상가 확성기 소음 신고
2026-03-22,북구,교통,웹,완료,3,버스 정류장 안내판 훼손 신고
2026-03-22,북구,복지,웹,완료,5,기초생활 지원 문의
2026-03-23,중구,환경,웹,완료,16,생활 쓰레기 무단 투기 신고
2026-03-23,서구,위생,앱,완료,5,무허가 노점 위생 민원
2026-03-23,동구,시설,웹,완료,5,공중화장실 파손 신고
2026-03-23,남구,교통,앱,처리중,,신호등 점멸 오작동 신고
2026-03-23,북구,소음,전화,완료,2,야간 공사 소음 불편 접수
2026-03-24,중구,위생,웹,완료,3,방역 요청
2026-03-24,중구,위생,웹,완료,3,음식점 위생 상태 신고
2026-03-24,동구,환경,앱,처리중,,재활용 분리수거 미흡 민원
2026-03-24,동구,시설,앱,반려,1,보도블록 파손 신고
2026-03-24,북구,환경,웹,완료,10,재활용 분리수거 미흡 민원
2026-03-24,북구,시설,방문,완료,5,보도블록 파손 신고
2026-03-25,중구,교통,웹,처리중,,불법 주정차 단속 요청
2026-03-25,중구,환경,전화,처리중,,하천 오염 의심 신고
2026-03-25,서구,교통,웹,완료,2,신호등 점멸 오작동 신고
2026-03-25,동구,복지,앱,처리중,,독거노인 돌봄 요청
2026-03-25,남구,시설,방문,반려,2,공원 조명 고장 민원
2026-03-25,북구,시설,웹,처리중,,보도블록 파손 신고
2026-03-26,중구,교통,웹,완료,4,불법 주정차 단속 요청
2026-03-26,중구,시설,앱,완료,4,공중화장실 파손 신고
2026-03-26,중구,시설,웹,반려,1,공중화장실 파손 신고
2026-03-26,서구,교통,앱,처리중,,불법 주정차 단속 요청
2026-03-26,서구,환경,앱,처리중,,악취 발생 신고
2026-03-26,동구,복지,전화,완료,13,기초생활 지원 문의
2026-03-26,남구,교통,웹,완료,4,신호등 점멸 오작동 신고
2026-03-26,북구,복지,웹,완료,10,아동 급식 지원 문의
2026-03-27,중구,환경,웹,처리중,,생활 쓰레기 무단 투기 신고
2026-03-27,중구,교통,앱,완료,1,버스 정류장 안내판 훼손 신고
2026-03-27,서구,환경,앱,완료,10,재활용 분리수거 미흡 민원
2026-03-27,동구,교통,앱,반려,1,횡단보도 도색 마모 민원
2026-03-27,남구,환경,방문,처리중,,재활용 분리수거 미흡 민원
2026-03-27,남구,환경,앱,완료,16,하천 오염 의심 신고
2026-03-27,북구,환경,앱,완료,3,재활용 분리수거 미흡 민원
2026-03-28,중구,시설,방문,완료,7,공중화장실 파손 신고
2026-03-28,서구,시설,전화,처리중,,공원 조명 고장 민원
2026-03-28,서구,시설,웹,완료,5,보도블록 파손 신고
2026-03-28,동구,시설,앱,완료,12,공원 조명 고장 민원
2026-03-28,남구,시설,웹,완료,7,보도블록 파손 신고
2026-03-28,북구,시설,앱,완료,8,공원 조명 고장 민원
2026-03-28,북구,교통,웹,처리중,,신호등 점멸 오작동 신고
2026-03-29,중구,소음,전화,완료,2,심야 오토바이 소음 신고
2026-03-29,중구,교통,전화,완료,3,불법 주정차 단속 요청
2026-03-29,서구,시설,웹,완료,7,공원 조명 고장 민원
2026-03-29,동구,교통,전화,완료,2,버스 정류장 안내판 훼손 신고
2026-03-29,남구,시설,웹,완료,5,놀이터 시설물 안전 점검 요청
2026-03-29,북구,소음,전화,완료,1,야간 공사 소음 불편 접수
2026-03-30,중구,교통,앱,완료,3,신호등 점멸 오작동 신고
2026-03-30,중구,소음,앱,완료,2,야간 공사 소음 불편 접수
2026-03-30,서구,위생,웹,처리중,,쥐·해충 방제 요청
2026-03-30,남구,교통,방문,반려,2,불법 주정차 단속 요청
2026-03-30,북구,환경,방문,완료,8,하천 오염 의심 신고
2026-03-30,북구,교통,앱,완료,2,횡단보도 도색 마모 민원
2026-03-31,중구,소음,앱,완료,1,심야 오토바이 소음 신고
2026-03-31,중구,환경,방문,완료,10,하천 오염 의심 신고
2026-03-31,동구,시설,전화,완료,5,공원 조명 고장 민원
2026-03-31,남구,환경,전화,처리중,,악취 발생 신고
2026-03-31,남구,소음,웹,반려,1,층간 소음 중재 요청
2026-03-31,북구,시설,앱,완료,5,보도블록 파손 신고
2026-03-31,북구,환경,앱,반려,1,생활 쓰레기 무단 투기 신고
2026-04-01,중구,복지,웹,완료,12,아동 급식 지원 문의
2026-04-01,중구,교통,전화,완료,4,신호등 점멸 오작동 신고
2026-04-01,서구,환경,전화,완료,12,악취 발생 신고
2026-04-01,서구,복지,웹,완료,15,장애인 편의시설 설치 요청
2026-04-01,동구,소음,전화,완료,1,층간 소음 중재 요청
2026-04-01,남구,시설,전화,반려,2,놀이터 시설물 안전 점검 요청
2026-04-01,남구,시설,앱,완료,13,공중화장실 파손 신고
2026-04-01,북구,시설,앱,처리중,,공원 조명 고장 민원
2026-04-02,중구,소음,앱,완료,1,상가 확성기 소음 신고
2026-04-02,중구,복지,앱,완료,17,장애인 편의시설 설치 요청
2026-04-02,중구,교통,웹,처리중,,버스 정류장 안내판 훼손 신고
2026-04-02,서구,환경,전화,반려,1,악취 발생 신고
2026-04-02,동구,위생,방문,반려,1,방역 요청
2026-04-02,남구,교통,웹,반려,1,버스 정류장 안내판 훼손 신고
2026-04-02,북구,소음,전화,완료,1,심야 오토바이 소음 신고
2026-04-03,중구,위생,전화,반려,2,쥐·해충 방제 요청
2026-04-03,중구,시설,앱,완료,6,놀이터 시설물 안전 점검 요청
2026-04-03,중구,환경,웹,완료,2,재활용 분리수거 미흡 민원
2026-04-03,서구,복지,웹,처리중,,아동 급식 지원 문의
2026-04-03,서구,시설,전화,완료,5,공중화장실 파손 신고
2026-04-03,동구,환경,전화,완료,12,재활용 분리수거 미흡 민원
2026-04-03,남구,환경,웹,처리중,,하천 오염 의심 신고
2026-04-03,북구,교통,앱,완료,1,불법 주정차 단속 요청
2026-04-03,북구,소음,앱,처리중,,층간 소음 중재 요청
2026-04-04,중구,복지,웹,완료,11,독거노인 돌봄 요청
2026-04-04,중구,환경,전화,완료,11,악취 발생 신고
2026-04-04,중구,복지,웹,반려,3,기초생활 지원 문의
2026-04-04,서구,환경,전화,완료,9,재활용 분리수거 미흡 민원
2026-04-04,서구,환경,전화,완료,4,하천 오염 의심 신고
2026-04-04,동구,시설,앱,완료,10,공원 조명 고장 민원
2026-04-04,남구,교통,전화,완료,5,횡단보도 도색 마모 민원
2026-04-04,남구,시설,앱,완료,11,보도블록 파손 신고
2026-04-04,북구,환경,웹,완료,8,생활 쓰레기 무단 투기 신고
2026-04-04,북구,교통,전화,완료,3,횡단보도 도색 마모 민원
2026-04-05,중구,복지,전화,완료,11,장애인 편의시설 설치 요청
2026-04-05,서구,교통,전화,완료,3,횡단보도 도색 마모 민원
2026-04-05,동구,위생,웹,완료,1,방역 요청
2026-04-05,남구,환경,앱,완료,8,악취 발생 신고
2026-04-05,남구,교통,웹,완료,1,버스 정류장 안내판 훼손 신고
2026-04-05,북구,위생,방문,완료,5,무허가 노점 위생 민원
2026-04-05,북구,교통,전화,완료,2,횡단보도 도색 마모 민원
2026-04-06,중구,복지,웹,완료,11,아동 급식 지원 문의
2026-04-06,중구,소음,앱,완료,2,야간 공사 소음 불편 접수
2026-04-06,서구,위생,앱,완료,7,음식점 위생 상태 신고
2026-04-06,동구,교통,웹,완료,5,횡단보도 도색 마모 민원
2026-04-06,북구,복지,웹,완료,6,아동 급식 지원 문의
2026-04-06,북구,시설,앱,완료,5,공원 조명 고장 민원
2026-04-07,중구,환경,앱,반려,1,악취 발생 신고
2026-04-07,중구,교통,웹,완료,3,불법 주정차 단속 요청
2026-04-07,중구,시설,전화,완료,10,공원 조명 고장 민원
2026-04-07,서구,위생,웹,완료,6,무허가 노점 위생 민원
2026-04-07,서구,교통,전화,처리중,,버스 정류장 안내판 훼손 신고
2026-04-07,남구,소음,웹,완료,1,층간 소음 중재 요청
2026-04-08,중구,소음,전화,완료,2,층간 소음 중재 요청
2026-04-08,서구,소음,앱,처리중,,층간 소음 중재 요청
2026-04-08,동구,교통,전화,완료,2,신호등 점멸 오작동 신고
2026-04-08,남구,환경,전화,완료,6,재활용 분리수거 미흡 민원
2026-04-08,남구,시설,전화,완료,9,보도블록 파손 신고
2026-04-08,북구,시설,웹,완료,6,공중화장실 파손 신고
2026-04-08,북구,시설,앱,완료,5,공중화장실 파손 신고
2026-04-09,중구,교통,방문,완료,1,불법 주정차 단속 요청
2026-04-09,중구,소음,전화,완료,2,상가 확성기 소음 신고
2026-04-09,서구,시설,웹,완료,7,놀이터 시설물 안전 점검 요청
2026-04-09,동구,환경,전화,완료,10,악취 발생 신고
2026-04-09,남구,환경,전화,처리중,,악취 발생 신고
2026-04-09,남구,환경,웹,반려,2,악취 발생 신고
2026-04-09,북구,시설,전화,처리중,,공중화장실 파손 신고
2026-04-10,중구,위생,앱,완료,4,음식점 위생 상태 신고
2026-04-10,중구,교통,앱,완료,1,횡단보도 도색 마모 민원
2026-04-10,서구,환경,전화,완료,6,생활 쓰레기 무단 투기 신고
2026-04-10,동구,환경,앱,반려,1,생활 쓰레기 무단 투기 신고
2026-04-10,남구,소음,앱,완료,2,심야 오토바이 소음 신고
2026-04-10,북구,교통,앱,완료,2,불법 주정차 단속 요청
2026-04-11,중구,환경,앱,완료,2,악취 발생 신고
2026-04-11,서구,환경,방문,완료,13,생활 쓰레기 무단 투기 신고
2026-04-11,서구,환경,웹,완료,9,악취 발생 신고
2026-04-11,동구,교통,웹,완료,3,버스 정류장 안내판 훼손 신고
2026-04-11,남구,환경,앱,완료,10,하천 오염 의심 신고
2026-04-11,남구,교통,앱,완료,3,버스 정류장 안내판 훼손 신고
2026-04-11,북구,교통,전화,완료,4,불법 주정차 단속 요청
2026-04-12,중구,교통,앱,처리중,,불법 주정차 단속 요청
2026-04-12,중구,교통,앱,완료,4,신호등 점멸 오작동 신고
2026-04-12,중구,환경,웹,완료,4,악취 발생 신고
2026-04-12,서구,교통,전화,반려,2,버스 정류장 안내판 훼손 신고
2026-04-12,서구,소음,웹,완료,2,심야 오토바이 소음 신고
2026-04-12,남구,교통,앱,완료,2,횡단보도 도색 마모 민원
2026-04-12,북구,환경,전화,완료,8,재활용 분리수거 미흡 민원
2026-04-13,중구,소음,웹,완료,1,층간 소음 중재 요청
2026-04-13,중구,시설,전화,완료,7,놀이터 시설물 안전 점검 요청
2026-04-13,서구,환경,웹,완료,9,재활용 분리수거 미흡 민원
2026-04-13,동구,위생,전화,완료,1,음식점 위생 상태 신고
2026-04-13,남구,교통,앱,반려,2,신호등 점멸 오작동 신고
2026-04-13,북구,교통,웹,완료,3,불법 주정차 단속 요청
2026-04-13,북구,소음,웹,완료,1,층간 소음 중재 요청
2026-04-14,중구,시설,앱,처리중,,공중화장실 파손 신고
2026-04-14,서구,시설,앱,완료,5,공중화장실 파손 신고
2026-04-14,동구,소음,앱,반려,1,야간 공사 소음 불편 접수
2026-04-14,남구,시설,앱,완료,8,공중화장실 파손 신고
2026-04-14,남구,위생,웹,완료,5,방역 요청
2026-04-14,북구,시설,웹,완료,4,놀이터 시설물 안전 점검 요청
2026-04-15,중구,시설,방문,완료,8,공중화장실 파손 신고
2026-04-15,서구,위생,웹,완료,1,방역 요청
2026-04-15,동구,소음,전화,완료,1,층간 소음 중재 요청
2026-04-15,남구,복지,앱,반려,1,장애인 편의시설 설치 요청
2026-04-15,북구,환경,앱,완료,2,악취 발생 신고
2026-04-15,북구,위생,웹,완료,6,쥐·해충 방제 요청
2026-04-16,중구,교통,전화,완료,4,횡단보도 도색 마모 민원
2026-04-16,서구,교통,앱,완료,5,신호등 점멸 오작동 신고
2026-04-16,동구,환경,전화,완료,7,생활 쓰레기 무단 투기 신고
2026-04-16,남구,소음,전화,완료,2,야간 공사 소음 불편 접수
2026-04-16,북구,시설,앱,완료,7,공원 조명 고장 민원
2026-04-17,중구,소음,웹,완료,1,상가 확성기 소음 신고
2026-04-17,중구,시설,방문,완료,6,공원 조명 고장 민원
2026-04-17,서구,교통,전화,처리중,,횡단보도 도색 마모 민원
2026-04-17,서구,환경,앱,완료,14,재활용 분리수거 미흡 민원
2026-04-17,동구,위생,앱,처리중,,쥐·해충 방제 요청
2026-04-17,동구,복지,웹,완료,17,기초생활 지원 문의
2026-04-17,남구,시설,앱,완료,9,공중화장실 파손 신고
2026-04-17,남구,교통,앱,처리중,,횡단보도 도색 마모 민원
2026-04-17,북구,위생,앱,완료,4,음식점 위생 상태 신고
2026-04-18,중구,위생,앱,완료,5,쥐·해충 방제 요청
2026-04-18,서구,소음,앱,완료,1,야간 공사 소음 불편 접수
2026-04-18,동구,환경,전화,완료,5,재활용 분리수거 미흡 민원
2026-04-18,동구,시설,웹,완료,6,보도블록 파손 신고
2026-04-18,남구,교통,앱,완료,1,불법 주정차 단속 요청
2026-04-18,북구,교통,앱,반려,1,신호등 점멸 오작동 신고
2026-04-18,북구,교통,전화,완료,1,신호등 점멸 오작동 신고
2026-04-19,중구,환경,앱,처리중,,하천 오염 의심 신고
2026-04-19,서구,시설,앱,완료,6,공원 조명 고장 민원
2026-04-19,서구,복지,앱,완료,11,아동 급식 지원 문의
2026-04-19,동구,소음,전화,완료,1,층간 소음 중재 요청
2026-04-19,동구,소음,앱,처리중,,심야 오토바이 소음 신고
2026-04-19,남구,교통,앱,완료,2,신호등 점멸 오작동 신고
2026-04-19,북구,소음,웹,완료,3,상가 확성기 소음 신고
2026-04-19,북구,교통,앱,완료,2,신호등 점멸 오작동 신고
2026-04-20,중구,위생,전화,완료,3,음식점 위생 상태 신고
2026-04-20,중구,교통,앱,완료,2,신호등 점멸 오작동 신고
2026-04-20,중구,환경,웹,완료,3,재활용 분리수거 미흡 민원
2026-04-20,서구,위생,전화,완료,5,쥐·해충 방제 요청
2026-04-20,동구,소음,앱,완료,2,심야 오토바이 소음 신고
2026-04-20,남구,환경,전화,완료,5,악취 발생 신고
2026-04-20,북구,환경,전화,완료,5,생활 쓰레기 무단 투기 신고
2026-04-21,중구,환경,앱,완료,5,재활용 분리수거 미흡 민원
2026-04-21,중구,시설,전화,완료,6,놀이터 시설물 안전 점검 요청
2026-04-21,서구,시설,웹,완료,4,공원 조명 고장 민원
2026-04-21,남구,복지,앱,완료,12,아동 급식 지원 문의
2026-04-21,북구,소음,웹,완료,2,상가 확성기 소음 신고
2026-04-21,북구,환경,앱,완료,9,재활용 분리수거 미흡 민원
2026-04-22,중구,교통,앱,완료,1,버스 정류장 안내판 훼손 신고
2026-04-22,서구,소음,웹,처리중,,층간 소음 중재 요청
2026-04-22,동구,소음,앱,처리중,,심야 오토바이 소음 신고
2026-04-22,남구,위생,앱,완료,3,무허가 노점 위생 민원
2026-04-22,북구,위생,방문,완료,6,무허가 노점 위생 민원
2026-04-22,북구,교통,웹,완료,2,불법 주정차 단속 요청
2026-04-23,중구,교통,전화,완료,2,신호등 점멸 오작동 신고
2026-04-23,중구,복지,앱,완료,11,아동 급식 지원 문의
2026-04-23,서구,환경,앱,완료,13,생활 쓰레기 무단 투기 신고
2026-04-23,동구,소음,앱,완료,1,야간 공사 소음 불편 접수
2026-04-23,남구,시설,웹,처리중,,놀이터 시설물 안전 점검 요청
2026-04-23,남구,위생,웹,처리중,,쥐·해충 방제 요청
2026-04-23,북구,시설,웹,완료,3,보도블록 파손 신고
2026-04-23,북구,교통,앱,완료,1,신호등 점멸 오작동 신고
2026-04-24,중구,소음,앱,완료,1,야간 공사 소음 불편 접수
2026-04-24,서구,소음,웹,완료,1,층간 소음 중재 요청
2026-04-24,동구,복지,앱,완료,9,독거노인 돌봄 요청
2026-04-24,남구,교통,웹,완료,2,횡단보도 도색 마모 민원
2026-04-24,남구,시설,앱,완료,10,보도블록 파손 신고
2026-04-24,북구,교통,전화,완료,1,버스 정류장 안내판 훼손 신고
2026-04-24,북구,교통,앱,처리중,,버스 정류장 안내판 훼손 신고
2026-04-25,중구,시설,앱,완료,7,놀이터 시설물 안전 점검 요청
2026-04-25,서구,시설,앱,완료,9,공중화장실 파손 신고
2026-04-25,동구,시설,전화,처리중,,보도블록 파손 신고
2026-04-25,동구,시설,앱,완료,5,보도블록 파손 신고
2026-04-25,남구,환경,앱,완료,6,재활용 분리수거 미흡 민원
2026-04-26,중구,소음,앱,완료,2,층간 소음 중재 요청
2026-04-26,서구,시설,웹,처리중,,보도블록 파손 신고
2026-04-26,서구,교통,웹,완료,2,횡단보도 도색 마모 민원
2026-04-26,동구,교통,웹,완료,3,버스 정류장 안내판 훼손 신고
2026-04-26,남구,시설,앱,완료,9,공중화장실 파손 신고
2026-04-26,북구,복지,앱,완료,9,아동 급식 지원 문의
2026-04-27,중구,위생,앱,완료,6,음식점 위생 상태 신고
2026-04-27,중구,복지,방문,완료,12,독거노인 돌봄 요청
2026-04-27,중구,환경,앱,완료,9,하천 오염 의심 신고
2026-04-27,북구,교통,웹,처리중,,신호등 점멸 오작동 신고
2026-04-27,북구,교통,웹,완료,2,횡단보도 도색 마모 민원
2026-04-28,중구,환경,앱,완료,7,하천 오염 의심 신고
2026-04-28,동구,위생,웹,처리중,,음식점 위생 상태 신고
2026-04-28,북구,환경,웹,완료,7,하천 오염 의심 신고
2026-04-29,중구,소음,앱,완료,2,야간 공사 소음 불편 접수
2026-04-29,중구,환경,앱,반려,1,악취 발생 신고
2026-04-29,서구,위생,앱,완료,6,음식점 위생 상태 신고
2026-04-29,동구,복지,전화,완료,3,기초생활 지원 문의
2026-04-29,남구,교통,전화,완료,2,횡단보도 도색 마모 민원
2026-04-29,북구,시설,앱,반려,4,놀이터 시설물 안전 점검 요청
2026-04-29,북구,환경,앱,완료,3,생활 쓰레기 무단 투기 신고
2026-04-30,중구,위생,전화,처리중,,음식점 위생 상태 신고
