audit_date,quarter,department,system,finding_category,severity,status,resolve_days
2025-09-15,2025Q3,고객지원,사내메신저,권한 과다부여,중,진행중,
2025-09-15,2025Q3,경영지원,재무시스템,암호화 미흡,상,미착수,
2025-09-15,2025Q3,경영지원,재무시스템,권한 과다부여,중,진행중,
2025-09-15,2025Q3,경영지원,재무시스템,접근로그 미보존,중,진행중,
2025-09-15,2025Q3,경영지원,재무시스템,암호화 미흡,상,미착수,
2025-09-15,2025Q3,경영지원,재무시스템,권한 과다부여,상,미착수,
2025-09-15,2025Q3,경영지원,재무시스템,권한 과다부여,상,개선완료,27
2025-09-15,2025Q3,경영지원,재무시스템,교육 미이수,상,개선완료,16
2025-09-15,2025Q3,경영지원,재무시스템,접근로그 미보존,중,진행중,
2025-09-15,2025Q3,HR,HR시스템,교육 미이수,하,미착수,
2025-09-15,2025Q3,HR,HR시스템,파기 미이행,중,진행중,
2025-09-15,2025Q3,HR,HR시스템,파기 미이행,중,미착수,
2025-09-15,2025Q3,HR,HR시스템,권한 과다부여,중,진행중,
2025-09-15,2025Q3,HR,HR시스템,교육 미이수,중,진행중,
2025-09-15,2025Q3,HR,HR시스템,권한 과다부여,중,개선완료,16
2025-09-15,2025Q3,HR,HR시스템,파기 미이행,상,진행중,
2025-12-15,2025Q4,마케팅,마케팅자동화툴,파기 미이행,상,개선완료,10
2025-12-15,2025Q4,마케팅,마케팅자동화툴,권한 과다부여,중,미착수,
2025-12-15,2025Q4,마케팅,마케팅자동화툴,교육 미이수,하,개선완료,25
2025-12-15,2025Q4,마케팅,마케팅자동화툴,파기 미이행,상,개선완료,6
2025-12-15,2025Q4,마케팅,마케팅자동화툴,파기 미이행,상,개선완료,29
2025-12-15,2025Q4,마케팅,마케팅자동화툴,접근로그 미보존,중,진행중,
2025-12-15,2025Q4,마케팅,마케팅자동화툴,권한 과다부여,중,미착수,
2025-12-15,2025Q4,마케팅,마케팅자동화툴,암호화 미흡,하,개선완료,12
2025-12-15,2025Q4,영업,CRM,접근로그 미보존,하,미착수,
2025-12-15,2025Q4,영업,CRM,권한 과다부여,중,진행중,
2025-12-15,2025Q4,영업,CRM,권한 과다부여,상,개선완료,3
2025-12-15,2025Q4,영업,CRM,교육 미이수,하,개선완료,30
2025-12-15,2025Q4,영업,CRM,암호화 미흡,상,개선완료,15
2025-12-15,2025Q4,영업,CRM,암호화 미흡,상,개선완료,16
2025-12-15,2025Q4,영업,CRM,접근로그 미보존,중,진행중,
2025-12-15,2025Q4,개발,이커머스몰,암호화 미흡,상,진행중,
2025-12-15,2025Q4,개발,이커머스몰,접근로그 미보존,중,개선완료,34
2025-12-15,2025Q4,개발,이커머스몰,파기 미이행,상,개선완료,31
2025-12-15,2025Q4,개발,이커머스몰,파기 미이행,상,진행중,
2025-12-15,2025Q4,개발,이커머스몰,권한 과다부여,중,진행중,
2025-12-15,2025Q4,개발,이커머스몰,권한 과다부여,중,개선완료,15
2025-12-15,2025Q4,개발,이커머스몰,권한 과다부여,중,진행중,
2025-12-15,2025Q4,개발,이커머스몰,암호화 미흡,상,개선완료,33
2025-12-15,2025Q4,고객지원,사내메신저,권한 과다부여,상,진행중,
2025-12-15,2025Q4,고객지원,사내메신저,접근로그 미보존,중,진행중,
2025-12-15,2025Q4,고객지원,사내메신저,교육 미이수,하,미착수,
2025-12-15,2025Q4,고객지원,사내메신저,교육 미이수,하,개선완료,35
2025-12-15,2025Q4,고객지원,사내메신저,권한 과다부여,중,개선완료,10
2025-12-15,2025Q4,고객지원,사내메신저,접근로그 미보존,하,진행중,
2025-12-15,2025Q4,고객지원,사내메신저,권한 과다부여,중,개선완료,32
2025-12-15,2025Q4,고객지원,사내메신저,권한 과다부여,중,개선완료,19
2025-12-15,2025Q4,고객지원,사내메신저,암호화 미흡,상,진행중,
2025-12-15,2025Q4,경영지원,재무시스템,접근로그 미보존,중,개선완료,18
2025-12-15,2025Q4,경영지원,재무시스템,암호화 미흡,상,진행중,
2025-12-15,2025Q4,경영지원,재무시스템,권한 과다부여,중,미착수,
2025-12-15,2025Q4,경영지원,재무시스템,접근로그 미보존,중,개선완료,4
2025-12-15,2025Q4,경영지원,재무시스템,파기 미이행,중,개선완료,12
2025-12-15,2025Q4,경영지원,재무시스템,접근로그 미보존,중,진행중,
2025-12-15,2025Q4,경영지원,재무시스템,교육 미이수,하,개선완료,6
2025-12-15,2025Q4,경영지원,재무시스템,암호화 미흡,중,진행중,
2025-12-15,2025Q4,HR,HR시스템,암호화 미흡,상,개선완료,27
2025-12-15,2025Q4,HR,HR시스템,권한 과다부여,중,미착수,
2025-12-15,2025Q4,HR,HR시스템,파기 미이행,상,진행중,
2025-12-15,2025Q4,HR,HR시스템,암호화 미흡,상,개선완료,22
2025-12-15,2025Q4,HR,HR시스템,권한 과다부여,중,개선완료,33
2025-12-15,2025Q4,HR,HR시스템,접근로그 미보존,중,개선완료,40
2025-12-15,2025Q4,HR,HR시스템,파기 미이행,상,진행중,
2025-12-15,2025Q4,HR,HR시스템,교육 미이수,하,개선완료,31
2026-03-15,2026Q1,마케팅,마케팅자동화툴,암호화 미흡,상,진행중,
2026-03-15,2026Q1,마케팅,마케팅자동화툴,파기 미이행,중,진행중,
2026-03-15,2026Q1,마케팅,마케팅자동화툴,파기 미이행,상,개선완료,23
2026-03-15,2026Q1,마케팅,마케팅자동화툴,교육 미이수,하,개선완료,32
2026-03-15,2026Q1,마케팅,마케팅자동화툴,파기 미이행,하,진행중,
2026-03-15,2026Q1,마케팅,마케팅자동화툴,권한 과다부여,하,진행중,
2026-03-15,2026Q1,마케팅,마케팅자동화툴,교육 미이수,중,개선완료,13
2026-03-15,2026Q1,마케팅,마케팅자동화툴,접근로그 미보존,중,진행중,
2026-03-15,2026Q1,영업,CRM,교육 미이수,하,개선완료,31
2026-03-15,2026Q1,영업,CRM,교육 미이수,중,진행중,
2026-03-15,2026Q1,영업,CRM,교육 미이수,상,개선완료,13
2026-03-15,2026Q1,영업,CRM,권한 과다부여,중,개선완료,11
2026-03-15,2026Q1,영업,CRM,암호화 미흡,상,진행중,
2026-03-15,2026Q1,영업,CRM,파기 미이행,상,개선완료,14
2026-03-15,2026Q1,영업,CRM,교육 미이수,상,개선완료,18
2026-03-15,2026Q1,개발,이커머스몰,파기 미이행,상,진행중,
2026-03-15,2026Q1,개발,이커머스몰,접근로그 미보존,상,진행중,
2026-03-15,2026Q1,개발,이커머스몰,권한 과다부여,중,개선완료,12
2026-03-15,2026Q1,개발,이커머스몰,권한 과다부여,중,진행중,
2026-03-15,2026Q1,개발,이커머스몰,접근로그 미보존,중,개선완료,13
2026-03-15,2026Q1,개발,이커머스몰,교육 미이수,하,개선완료,31
2026-03-15,2026Q1,개발,이커머스몰,암호화 미흡,하,진행중,
2026-03-15,2026Q1,고객지원,사내메신저,권한 과다부여,중,개선완료,15
2026-03-15,2026Q1,고객지원,사내메신저,교육 미이수,중,개선완료,23
2026-03-15,2026Q1,고객지원,사내메신저,접근로그 미보존,중,개선완료,30
2026-03-15,2026Q1,고객지원,사내메신저,접근로그 미보존,상,개선완료,13
2026-03-15,2026Q1,고객지원,사내메신저,접근로그 미보존,중,진행중,
2026-03-15,2026Q1,고객지원,사내메신저,권한 과다부여,중,진행중,
2026-03-15,2026Q1,고객지원,사내메신저,교육 미이수,하,개선완료,31
2026-03-15,2026Q1,고객지원,사내메신저,권한 과다부여,중,진행중,
2026-03-15,2026Q1,고객지원,사내메신저,파기 미이행,상,개선완료,22
2026-03-15,2026Q1,경영지원,재무시스템,권한 과다부여,중,개선완료,9
2026-03-15,2026Q1,경영지원,재무시스템,접근로그 미보존,중,개선완료,4
2026-03-15,2026Q1,경영지원,재무시스템,교육 미이수,하,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,권한 과다부여,중,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,암호화 미흡,상,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,권한 과다부여,중,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,파기 미이행,상,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,교육 미이수,하,진행중,
2026-03-15,2026Q1,경영지원,재무시스템,교육 미이수,하,개선완료,41
2026-03-15,2026Q1,HR,HR시스템,파기 미이행,상,개선완료,10
2026-03-15,2026Q1,HR,HR시스템,교육 미이수,상,개선완료,11
2026-03-15,2026Q1,HR,HR시스템,암호화 미흡,상,진행중,
2026-03-15,2026Q1,HR,HR시스템,교육 미이수,하,진행중,
2026-03-15,2026Q1,HR,HR시스템,교육 미이수,하,진행중,
2026-03-15,2026Q1,HR,HR시스템,교육 미이수,하,진행중,
2026-06-15,2026Q2,마케팅,마케팅자동화툴,권한 과다부여,중,개선완료,29
2026-06-15,2026Q2,마케팅,마케팅자동화툴,교육 미이수,하,개선완료,18
2026-06-15,2026Q2,마케팅,마케팅자동화툴,권한 과다부여,중,개선완료,32
2026-06-15,2026Q2,마케팅,마케팅자동화툴,파기 미이행,상,진행중,
2026-06-15,2026Q2,마케팅,마케팅자동화툴,접근로그 미보존,중,진행중,
2026-06-15,2026Q2,마케팅,마케팅자동화툴,파기 미이행,상,진행중,
2026-06-15,2026Q2,영업,CRM,권한 과다부여,중,개선완료,18
2026-06-15,2026Q2,영업,CRM,권한 과다부여,하,진행중,
2026-06-15,2026Q2,영업,CRM,암호화 미흡,상,개선완료,20
2026-06-15,2026Q2,영업,CRM,파기 미이행,상,개선완료,26
2026-06-15,2026Q2,영업,CRM,암호화 미흡,하,개선완료,20
2026-06-15,2026Q2,영업,CRM,교육 미이수,하,진행중,
2026-06-15,2026Q2,영업,CRM,권한 과다부여,하,개선완료,12
2026-06-15,2026Q2,영업,CRM,파기 미이행,상,개선완료,30
2026-06-15,2026Q2,개발,이커머스몰,접근로그 미보존,중,개선완료,20
2026-06-15,2026Q2,개발,이커머스몰,파기 미이행,상,진행중,
2026-06-15,2026Q2,개발,이커머스몰,파기 미이행,상,개선완료,27
2026-06-15,2026Q2,개발,이커머스몰,파기 미이행,상,진행중,
2026-06-15,2026Q2,개발,이커머스몰,권한 과다부여,중,개선완료,37
2026-06-15,2026Q2,개발,이커머스몰,파기 미이행,상,진행중,
2026-06-15,2026Q2,개발,이커머스몰,교육 미이수,하,진행중,
2026-06-15,2026Q2,개발,이커머스몰,교육 미이수,하,진행중,
2026-06-15,2026Q2,고객지원,사내메신저,권한 과다부여,중,진행중,
2026-06-15,2026Q2,고객지원,사내메신저,교육 미이수,하,진행중,
2026-06-15,2026Q2,고객지원,사내메신저,접근로그 미보존,중,개선완료,21
2026-06-15,2026Q2,고객지원,사내메신저,교육 미이수,중,진행중,
2026-06-15,2026Q2,고객지원,사내메신저,접근로그 미보존,하,개선완료,26
2026-06-15,2026Q2,고객지원,사내메신저,파기 미이행,상,개선완료,21
2026-06-15,2026Q2,경영지원,재무시스템,파기 미이행,상,진행중,
2026-06-15,2026Q2,경영지원,재무시스템,접근로그 미보존,하,개선완료,12
2026-06-15,2026Q2,경영지원,재무시스템,암호화 미흡,중,개선완료,14
2026-06-15,2026Q2,경영지원,재무시스템,권한 과다부여,중,개선완료,28
2026-06-15,2026Q2,경영지원,재무시스템,교육 미이수,하,개선완료,25
2026-06-15,2026Q2,경영지원,재무시스템,교육 미이수,하,진행중,
2026-06-15,2026Q2,경영지원,재무시스템,접근로그 미보존,중,진행중,
2026-06-15,2026Q2,경영지원,재무시스템,교육 미이수,하,개선완료,9
2026-06-15,2026Q2,HR,HR시스템,파기 미이행,상,개선완료,38
2026-06-15,2026Q2,HR,HR시스템,교육 미이수,하,개선완료,20
2026-06-15,2026Q2,HR,HR시스템,권한 과다부여,중,개선완료,20
2026-06-15,2026Q2,HR,HR시스템,권한 과다부여,중,진행중,
2026-06-15,2026Q2,HR,HR시스템,교육 미이수,하,개선완료,13
2026-06-15,2026Q2,HR,HR시스템,접근로그 미보존,상,개선완료,5
2026-06-15,2026Q2,HR,HR시스템,암호화 미흡,상,진행중,
2026-06-15,2026Q2,HR,HR시스템,파기 미이행,상,개선완료,23
2026-06-15,2026Q2,HR,HR시스템,접근로그 미보존,중,개선완료,25
